Avg Threads Running,1,1,1.5,1.8,1.9,2.4,2.5999999999999996,2.9,3.1,3.4000000000000004,3.5999999999999996,4,3.8999999999999995,3.9,4.199999999999999,4.3,4.4,4.4,4.5,4.7,4.6000000000000005,4.399999999999999,4.6,4.5,4.4,4.3,4.5,4.7,4.4,4.1,4.3,4.500000000000001,4.3,4.4,4.5,4.500000000000001,4.3999999999999995,4.5,4.7,4.6000000000000005,4.6000000000000005,4.7,4.7,4.5,4.6000000000000005,4.4,4.3999999999999995,4.199999999999999,4.3,4.3999999999999995,4.299999999999999,4.3,4.4,4.5,4.199999999999999,4.3,4.3,4.3,4.199999999999999,4.199999999999999,4.299999999999999,4.3,4.3999999999999995,4.6,4.9,5.300000000000001,6.3,6.7,6.8,7.299999999999999,8.1,8.333333333333334,8.5,9,12.857142857142858,13.5,13.2,14.25,17.666666666666664,22.5,33,28.5,28.5,28.5,24,24,24,24,24,24,24,29,29,29,29,29,29,22,22,22,22,15,15
Peak Threads Connected,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,9,15,15,15,15,15,15,15,15,33,33,33,33,33,33,33,33,33,33,24,24,24,24,24,24,24,29,29,29,29,29,29,29,29,29,29,15,15
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,2,2
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7758811793393926,0.7806457242582898,0.7996617772714327,0.8308480017712832,0.8920051772202309,1.0712332173048233,0.4284490145672665,0.4284490145672665,0.4284490145672665,0.16605778811026237,0.16605778811026237,0.16605778811026237,0.16605778811026237
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1.1111111111111112,1,0.888888888888889,1.1111111111111112,1.1111111111111112,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,1,1.1111111111111112,1,1,1,1,1,1.1111111111111112,1,0.888888888888889,0.888888888888889,1,1,1,1.1111111111111112,1,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,0.888888888888889,1.1111111111111112,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889,1,1.1111111111111112,1,1,1,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,1,0.888888888888889,1,1.1111111111111112,0.888888888888889,1,1,1,1,0.888888888888889,1,0.888888888888889,1,1,1,1,1,1,1,1.1111111111111112,1.1111111111111112,0.8622,0.8710857142857142,0.6622,0.9975615162935048,0.892166542009474,0.7996617772714327,0.8308480017712832,0.6371465551573078,0.6121332670313276,0.9997143673236218,0.9997143673236218,0.9997143673236218,0.9963467286615743,0.9963467286615743,0.9963467286615743,0.9963467286615743
Slow Queries,2.888888888888889,3,3.666666666666667,5.333333333333334,6.777777777777779,7.888888888888888,9.777777777777779,11.333333333333334,12.666666666666668,13.777777777777777,15.555555555555557,15.333333333333334,14.222222222222223,13.777777777777777,12.777777777777779,11.88888888888889,10.777777777777779,11.11111111111111,11.444444444444445,11.444444444444445,11.666666666666668,13.11111111111111,13.88888888888889,15.444444444444446,15.555555555555557,16.333333333333336,15.555555555555557,15.88888888888889,15.444444444444446,16.11111111111111,15.777777777777777,15,14.11111111111111,14.777777777777777,14.444444444444446,14.777777777777777,14.222222222222223,13.444444444444446,12.555555555555555,11.333333333333334,11.222222222222223,11,10.222222222222223,9.88888888888889,10,10,10.555555555555555,11,11.222222222222223,11.444444444444445,11.555555555555555,11.555555555555555,11.333333333333334,11.777777777777779,11.222222222222223,10.666666666666668,10.88888888888889,11.222222222222223,11.555555555555555,11.555555555555555,12,12.777777777777779,12.333333333333334,12.222222222222223,13.444444444444446,13.333333333333334,13.88888888888889,15.555555555555557,18.22222222222222,19.22222222222222,19.77777777777778,17.782874999999997,16.986171428571428,15.230599999999999,22.7222345377965,20.96591373722264,18.049508686983767,14.836571460201483,12.99778972520908,12.701765290900049,18.566123964581546,18.566123964581546,18.566123964581546,19.760876785121223,19.760876785121223,19.760876785121223,19.760876785121223
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,55.66666666666667,57.55555555555556,91.22222222222223,186.77777777777777,258.33333333333337,325.44444444444446,415.55555555555554,485.55555555555554,542.8888888888889,615.2222222222223,706.3333333333334,752.6666666666667,711.8888888888889,719.6666666666667,724,727.8888888888889,736.4444444444445,763,772.5555555555555,757,739.6666666666667,773.2222222222223,786.1111111111111,806.7777777777778,808.6666666666667,826.7777777777777,811.6666666666667,817.5555555555555,802.6666666666667,816.2222222222223,818.1111111111111,815.1111111111111,784.5555555555555,778.3333333333334,767.6666666666667,788.3333333333334,765.3333333333334,787.8888888888889,795.1111111111111,770.4444444444445,752.6666666666667,777.5555555555555,768,747.1111111111111,739,742.8888888888889,716.6666666666667,727.8888888888889,731.5555555555555,751.7777777777778,714.4444444444445,707.6666666666667,726.3333333333334,740.7777777777778,760.5555555555555,755.7777777777778,740.1111111111111,764.4444444444445,772.2222222222223,806.6666666666667,827.6666666666667,826.7777777777777,814.5555555555555,797.5555555555555,895.8888888888889,964.6666666666667,998.2222222222223,1046.5555555555557,1115.4444444444446,1192.5555555555557,1244.7777777777778,1122.045525,1057.3891714285714,916.1536999999998,1322.4340500997562,1196.3953328347047,1068.233897037881,939.5703974316395,807.3921146953404,770.5227498756838,1226.3638960297058,1226.3638960297058,1226.3638960297058,1259.7143806044503,1259.7143806044503,1259.7143806044503,1259.7143806044503
Table Locks Waited,0,0,0.5555555555555556,1.6666666666666667,2.3333333333333335,3.1111111111111116,5,6.111111111111112,6.444444444444445,7.222222222222223,9,9.333333333333334,8.666666666666668,8.444444444444445,8.444444444444445,7.222222222222223,6.888888888888888,8,7.777777777777779,7.444444444444445,7.333333333333334,7.555555555555555,8.444444444444445,9.666666666666668,10.333333333333334,11.666666666666668,11.11111111111111,11.333333333333334,10.555555555555555,10.777777777777779,11.222222222222223,10.222222222222223,9,8.666666666666668,7.888888888888888,7.888888888888888,7.777777777777779,8.444444444444445,9,8.11111111111111,7.888888888888888,8.222222222222223,8.222222222222223,7.888888888888888,7.555555555555555,8.555555555555555,8.11111111111111,8.222222222222223,8.666666666666668,10,9.11111111111111,9.11111111111111,9.444444444444445,11.555555555555555,11,10.555555555555555,9.444444444444445,10.88888888888889,11.444444444444445,12.333333333333334,13.11111111111111,12.777777777777779,12.555555555555555,12,16,17.22222222222222,18.333333333333336,19.11111111111111,22,25,26.666666666666668,23.49495,23.19265714285714,19.09343333333333,30.148525825759258,27.09955871353777,24.903752492167477,21.602048046053362,17.712674233373157,17.59883142715067,27.563553270494147,27.563553270494147,27.563553270494147,30.8867485885088,30.8867485885088,30.8867485885088,30.8867485885088
bytes_received_rate,12072.444444444445,12671.111111111111,16453.222222222223,28268.222222222226,37295.222222222226,45629.222222222226,56786,64921,71851.33333333334,80570.44444444445,91656.77777777778,97223.44444444445,91951.66666666667,92569.55555555556,93055.11111111111,92950.55555555556,94175.44444444445,96820,98614.55555555556,96144,93874.66666666667,98022.44444444445,99398.55555555556,102425.33333333334,103035.8888888889,104487.66666666667,102680.66666666667,103333.22222222222,101661.77777777778,103799.77777777778,104117.22222222222,103906.55555555556,99433.88888888889,98587.55555555556,98033.66666666667,100835.33333333334,97615.11111111111,100417.66666666667,101014.22222222222,98028.44444444445,95656.33333333334,99465.11111111111,98270.88888888889,95261.88888888889,94251.66666666667,94825.33333333334,91300.77777777778,92911.22222222222,93228.88888888889,96335.55555555556,90981.44444444445,90386.66666666667,93511.55555555556,96067.11111111111,97474.33333333334,97534,95546,98506.44444444445,99904.44444444445,103937.66666666667,106560.66666666667,105836,103969.55555555556,102528.22222222222,113881.11111111112,122458.8888888889,126063,130651.33333333334,140096.33333333334,149238.8888888889,154665,139006.57837499998,130925.48948571428,113692.78689999999,162045.66614941257,146628.46334579907,130950.32789803475,113950.20998007306,97288.07380525686,93254.52436598708,147405.7412167952,147405.7412167952,147405.7412167952,151744.7691796745,151744.7691796745,151744.7691796745,151744.7691796745
bytes_sent_rate,152298.6666666667,158152.11111111112,159783.22222222222,173187,211221,213223,234849.33333333334,237102.8888888889,254854.22222222225,269524.55555555556,293385,301775.8888888889,300618.6666666667,289805.3333333334,281840.55555555556,296070.8888888889,295335.44444444444,289757.7777777778,298337.1111111111,284321.7777777778,279196.44444444444,294354.55555555556,295541.3333333334,311566.44444444444,297384.7777777778,305042.3333333334,297854.22222222225,300657,297834.7777777778,306327.55555555556,300389.6666666667,289602.1111111111,284714.8888888889,294752.55555555556,287285.44444444444,301323.22222222225,297911.6666666667,304598.22222222225,291469.22222222225,283832.3333333334,300001.6666666667,306102.22222222225,300503.55555555556,296241.3333333334,289050.6666666667,292179.22222222225,283739.3333333334,300601.44444444444,299239.55555555556,291912.7777777778,281583.44444444444,275622.7777777778,287027.6666666667,294621.7777777778,290888.22222222225,291079.1111111111,287416.6666666667,298307.22222222225,298761.3333333334,303401.55555555556,310473,309317.8888888889,313009.44444444444,308549.55555555556,333038.44444444444,345479.55555555556,338150.6666666667,344789.7777777778,365309.1111111111,389511.3333333334,392282.6666666667,347690.772,318325.9702,276490.1318666666,407990.3569053425,376648.2909773124,343200.7836050983,302476.26836599136,256778.08977499005,249864.07670313274,387186.80377035134,387186.80377035134,387186.80377035134,383931.41813351045,383931.41813351045,383931.41813351045,383931.41813351045
