Avg Threads Running,2,2,2.2,2.7,3.0999999999999996,4,4.3,4.7,5,5.4,6.3,7.2,7.555555555555555,7.625,9.25,9,9.666666666666668,10.4,11.75,13.666666666666666,15,19,19,19,23,23,23,23,23,26.5,26.5,26.5,26.5,26.5,30,30,30,30,30,90,85,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,69.5,39.5,20,20,20,20,20,20.5,20.5,18.333333333333336,17,16,16,17.25,17.25,19.2,19.2,18.75,18.75,20.333333333333332,24,24,24,27,27,26,26,19,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,19.75,17.666666666666668,17.666666666666668,20.5,27,27,27,27,27,27,21,23
Peak Threads Connected,2,2,4,7,7,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,30,30,30,30,30,30,30,30,30,30,90,90,90,90,90,90,90,90,90,90,80,59,20,20,20,20,20,21,21,21,21,21,21,21,21,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,21,25
Peak Threads Running,1,1,1,1,2,2,2,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,50,71,71,71,71,71,71,71,71,71,71,44,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,1.2222222222222223,1.3333333333333335,1.4444444444444444,2.888888888888889,2.7777777777777777,2.666666666666667,2.555555555555556,2.4444444444444446,2.2222222222222223,2,1.777777777777778,1.5555555555555558,0,0,0.22185246810870768,0.21971095861925555,0.2234782608695652,0.22905652535328347,0.23819873712196743,0.25607721046077214,0.3080928689883914,1.0022048506714774,1.0022048506714774,1.0022048506714774,1.0022048506714774,1.0022048506714774,0,3.395461499235084,3,3,3,3,3,3,2.664201937786843,3.2439999999999998,5.986696230598669,0,0,0,0.11135857461024498,0.15,0.15,0.13100238928710342,0.16669444907484582,0.1250625312656328,0.1250625312656328,0.13563649497138414,0.11896705006389954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,276.11111111111114,276.6666666666667,279.8888888888889,596.3333333333334,849.2222222222223,1088.111111111111,1370.6666666666667,1645.3333333333335,1925.6666666666667,2128.3333333333335,2332,2648.777777777778,2232.2358,1975.8401714285712,2562.9506378258457,2225.7818662923682,1956.5521739130436,1687.3448940149628,1503.1531306081754,1345.6857409713575,1134.0898507462684,2448.386450190419,2448.386450190419,2448.386450190419,2448.386450190419,2448.386450190419,418.2823621227888,707.274630290668,624.9,624.9,624.9,624.9,624.9,624.9,554.9532636409994,394.63259999999997,2437.250554323725,2386.7311218536424,2386.7311218536424,2352.5512756378184,2368.15144766147,1042.2,1042.2,1831.2823998444187,2330.2217036172697,2346.048024012006,2346.048024012006,1934.990237261766,1697.183936211591,1505.1076420737786,1229.2283425137707,989.8693039559339,750.5102653980971,884.8160965794768,1014.8799125168237,985.05,985.05,985.05,985.05,1074.98166218035,2398.6884517061244,2426.166357540305,2426.166357540305,2491.9502074688794,547.9791880781089
table_open_cache_misses,1.2222222222222223,1.3333333333333335,1.4444444444444444,2.888888888888889,2.7777777777777777,2.666666666666667,2.555555555555556,2.4444444444444446,2.2222222222222223,2,1.777777777777778,1.5555555555555558,0,0,0.22185246810870768,0.21971095861925555,0.2234782608695652,0.22905652535328347,0.23819873712196743,0.25607721046077214,0.3080928689883914,1.0022048506714774,1.0022048506714774,1.0022048506714774,1.0022048506714774,1.0022048506714774,0,3.395461499235084,3,3,3,3,3,3,2.664201937786843,3.2439999999999998,5.986696230598669,0,0,0,0.11135857461024498,0.15,0.15,0.13100238928710342,0.16669444907484582,0.1250625312656328,0.1250625312656328,0.13563649497138414,0.11896705006389954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,0.888888888888889,0.888888888888889,1,1.1111111111111112,0.888888888888889,0.888888888888889,1.1111111111111112,1,1.1111111111111112,1,0.8622,0.6533142857142856,0.9983361064891845,0.9886993137866501,0.8939130434782608,0.6871695760598504,0.5954968428049185,0.5121544209215443,0.6161857379767828,1.2026458208057729,1.2026458208057729,1.2026458208057729,1.2026458208057729,1.2026458208057729,0.24136316337148805,0.1697730749617542,0.15,0.15,0.15,0.15,0.15,0.15,0.13321009688934216,0,1.1086474501108647,1.0001666944490748,1.0001666944490748,0.8754377188594296,0.8908685968819599,0.3,0.3,0.6550119464355171,0.8334722453742291,0.8754377188594296,0.8754377188594296,0.8138189698283048,0.7138023003833972,0.6371635094715853,0.5143214822233351,0.414171256885328,0.314021031547321,0.5800804828973843,0.46362718707940775,0.45,0.45,0.45,0.45,0.4910834454912517,1.000333444481494,0.8560422314167498,0.8560422314167498,0.995850622406639,0.4804727646454265
Slow Queries,4,4,4.111111111111112,6.444444444444445,9.444444444444445,11.333333333333334,14,17.11111111111111,19.333333333333336,20,21.444444444444446,22.77777777777778,19.18395,16.0062,18.968386023294507,15.379767103347888,12.067826086956522,9.96395885286783,8.932452642073779,7.554277708592778,6.623996683250414,25.456003207055524,25.456003207055524,25.456003207055524,25.456003207055524,25.456003207055524,5.551352757544225,7.300242223355431,6.45,6.45,6.45,6.45,6.45,6.45,5.728034166241713,3.2439999999999998,17.073170731707314,20.170028338056344,20.170028338056344,18.009004502251123,17.70601336302895,5.7,5.7,13.362243707284549,17.002833805634275,17.50875437718859,17.50875437718859,15.869469911651942,13.919144857476246,12.99813559322034,9.772108162243367,7.869253880821232,5.966399599399098,11.794969818913483,11.127052489905786,10.8,10.8,10.8,10.8,11.786002691790042,22.340780260086696,19.974318733057494,19.974318733057494,21.410788381742737,4.804727646454265
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
