Avg Threads Running,1,1,1.7000000000000002,2.8,3.5,4.3,5,5.9,6.444444444444444,7.111111111111111,7.444444444444445,8.249999999999998,9.375,9,9.166666666666666,10.5,11,11.25,11.25,12.666666666666668,17,17,17,17,17,18,18,18,18,18,18,18,18,18,33,48,48,48,48,48,48,48,48,48,52,46.5,50,55.5,64,73.5,83.14285714285714,93.375,103.66666666666667,114.2,131.9,152.7,171.9,189.6,204.69999999999996,217.5,228.3,236.70000000000002,243,247,249,249,249,249,249,249,249,249,249,249,249,77,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,88
Peak Threads Connected,1,1,8,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,48,48,48,48,48,48,48,48,48,48,52,52,57,72,98,121,141,165,186,209,229,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,77,88,88,88,88,88,88,88,88,88,88
Peak Threads Running,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,28,28,28,28,28,28,28,28,28,28,36,36,52,70,93,117,139,162,184,205,224,245,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,2,59,71,71,71,71,71,71,71,71,71,71
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,58.55555555555556,58.11111111111111,123.33333333333334,269.55555555555554,458.11111111111114,630.1111111111111,757.6666666666667,885.2222222222223,855.08685,1137.866015971606,1265.3333333333335,1165.2454321428572,1305.9775978706887,1101.407228389672,940.6158272766139,1211.7751413682224,1212.8694350916574,994.1228552390472,872.0172413793101,783.9540545925481,702.5248500999334,578.0078614257161,1246.2512495834721,159.34504132231407,169.7834349593496,229.9032345013477,268.9847782258065,309.47961352657,369.25843386952636,408.5641955059865,453.71405622489954,488.1801962533452,472.11111111111114,492.55555555555554,445.6666666666667,407.44444444444446,365.33333333333337,308,272.8888888888889,227.11111111111114,179.55555555555557,123.66666666666667,74.55555555555556,215.55555555555557,200.24595,197.19202857142855,193.14166666666665,186.0882,186.0355,184.60126666666667,196.51889999999997,229.99959999999996,234.60499479708642,194.4,194.4,194.4,194.4,194.4,194.4,194.4,162.08428720083245
Table Locks Waited,0,0,2,4.555555555555555,9.666666666666668,13,16.555555555555557,19.11111111111111,18.5373,24.955634427684117,28.111111111111114,25.53694642857143,28.945325496284795,23.618846409712692,20.671647427675644,24.61470229515467,24.81606185309889,19.801082791937368,17.368965517241378,15.03683004582586,12.967954696868754,10.66948700866089,24.21415083860935,2.647727272727273,2.3745934959349597,2.7787286612758306,3.096421370967742,3.4471739130434784,4.0604892761394105,4.071272757093652,4.573493975903615,4.906333630686886,5.111111111111112,5.222222222222222,4.666666666666667,4.222222222222222,3.7777777777777777,3.1111111111111116,3,2.4444444444444446,1.8888888888888888,0.4444444444444445,0,5.444444444444445,5.280975,5.335399999999999,5.407966666666666,5.5095600000000005,5.66195,5.915933333333333,6.423900000000001,7.947799999999999,1.9309053069719044,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3340270551508844
bytes_received_rate,12511.666666666668,12410.777777777777,19930.222222222223,37558.88888888889,61150.11111111111,82286.33333333334,97473.11111111111,112317.22222222222,108128.50200000001,142949.4232475599,158598.11111111112,145917.35121785715,163455.36209382277,137188.1469065735,116903.08270343451,149463.5768932254,150035.16647961093,122377.74409461937,107346.39310344825,95972.44033672045,85567.63950699533,70401.45029980013,150853.49328001778,19934.01652892562,21374.7337398374,28527.013432165317,33324.09067540323,37367.3652173913,43893.519939678285,48536.276890273904,53805.98393574297,57625.22301516503,55472.55555555556,57047.11111111111,51880.77777777778,47741.66666666667,44087.77777777778,38177.555555555555,34657.66666666667,29912.333333333336,25318.88888888889,18852.222222222223,14328.555555555557,22918,20589.659325,19466.261342857142,18532.9914,16977.540480000003,16201.38105,14921.915600000002,15274.198799999998,16195.0212,29744.14807492196,24646.8,24646.8,24646.8,24646.8,24646.8,24646.8,24646.8,20549.686264308013
bytes_sent_rate,175581.6666666667,171000.22222222222,176886.33333333334,216837.44444444444,261699.8888888889,293273.55555555556,295753.55555555556,327859.1111111111,312648.700725,385294.2546583851,420672.6666666667,378732.5844178571,403249.08506155043,339612.0968722714,292977.58291292575,398942.01130945777,391981.5438333957,315672.3880892887,276899.1413793103,243944.53272564252,237919.30599600263,195749.98554297135,416514.0508719316,74404.26549586777,90606.34634146342,133770.63023360286,146525.75569556453,164338.78170692432,189940.09081769438,212747.23176152204,238606.68594377505,260561.44067796608,250301.1111111111,253012.6666666667,232268.6666666667,246478.6666666667,232968.55555555556,224308.44444444444,225319.33333333334,208279.7777777778,204450.6666666667,183864,183323.22222222222,220719,181587.5109,175051.86074285713,157728.20396666665,133466.16756000003,125066.12024999999,98373.03706666667,101598.3048,86023.09439999999,103383.56649323623,85666.4,85666.4,85666.4,85666.4,85666.4,85666.4,85666.4,71425.80957336108
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,27,26.77777777777778,57.22222222222223,125.55555555555557,209.77777777777777,286.44444444444446,339.55555555555554,396.6666666666667,383.140125,504.2147293700089,556.7777777777778,510.7389285714286,569.9234778751248,478.4189586711571,406.39341456462876,531.2118860184055,530.365382217234,438.20067466266875,384.3775862068965,349.4151524208009,313.8620919387075,258.23251165889405,555.3704320781961,37.06818181818182,41.046544715447155,60.69328391734051,74.58336693548388,86.43469404186796,105.81881143878464,116.62999015909463,129.46506024096385,139.049955396967,139.44444444444446,147.44444444444446,134,122.55555555555557,111.44444444444446,94.22222222222223,85.55555555555556,73.33333333333334,61.777777777777786,45.333333333333336,31.555555555555554,212.77777777777777,202.509225,202.0918857142857,201.75026666666665,201.49248000000003,204.7546,209.23086666666669,225.3609,272.9826,103.78616024973988,86,86,86,86,86,86,86,71.70395421436004
qcache_lowmem_prunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com admin_commands,1,1,1,1,1,1,1,1,0.8622,0.9982253771073648,1,0.8693428571428571,0.9981146722856826,0.8788407966404723,0.7821704432093488,0.9978933362900543,0.9976306272602569,0.8137431284357822,0.7137931034482758,0.6371538155010957,0.5638241172551632,0.46389073950699533,0.9996667777407531,0.24070247933884298,0.33922764227642277,0.4387466307277627,0.5385080645161291,0.638365539452496,0.7382707774798927,0.8382032146957521,0.938152610441767,1.0035682426404997,1,1,1,1,1,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.6622,0.5622,0.4622,0.36219999999999997,0.2622,0.16219999999999998,0.24136316337148805,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16675338189386055
com alter_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_db_upgrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_instance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_procedure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
