Avg Threads Running,1,1,2.3,3.3000000000000003,3.6999999999999997,4.2,5.4,5.888888888888889,6.5,7.2857142857142865,8.333333333333334,9.8,8.75,9.75,11.333333333333334,14,15,15,15,33.5,33.5,33.5,33.5,52,53,53,53,53,53,54,54,54,54,54,44,44,44,44,44,44,44,44,44,44,26,26,26,34,32.33333333333333,32.33333333333333,32.33333333333333,32.33333333333333,32.33333333333333,32.33333333333333,35.5,35.5,35.5,29
Peak Threads Connected,1,1,14,14,14,14,14,14,14,14,14,14,13,15,15,15,15,15,15,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,44,44,44,44,44,44,44,44,44,44,26,26,26,42,42,42,42,42,42,42,42,42,42,29
Peak Threads Running,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,22,22,22,22,22,22,22,22,22,22,10,10,10,22,22,22,22,22,22,22,22,22,22,13
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.12073333333333333,0.2217786648924373,0.24943876278373658,0.14249073810202337,1.1668611435239207,1.1668611435239207,1.1668611435239207,1.1668611435239207,0,0,0,0,0,0.17887253261960517,0.14709360845495723,0.17225717161550075,0.15,0.17905133366884748,0.15388777050830396,0.12872420734776044,0,0,0
table_open_cache_hits,283.11111111111114,286.55555555555554,376,753.4444444444445,1024.888888888889,1294.4444444444446,1568.888888888889,1491.4982249999998,1478.668,1465.007133333333,1459.58364,1373.8895,990.617,2553.6704369039694,2534.5472686455473,2502.7073240239383,2455.242540423404,2455.242540423404,2455.242540423404,2455.242540423404,2486.852589641434,2486.852589641434,2486.852589641435,2486.852589641435,2486.852589641435,1374.098795583807,1440.1935203824862,1686.5699672873677,1468.65,1753.0916079516858,1506.715161046804,1260.3387141419225,421.8,421.8,345.68329949238574
table_open_cache_misses,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.12073333333333333,0.2217786648924373,0.24943876278373658,0.14249073810202337,1.1668611435239207,1.1668611435239207,1.1668611435239207,1.1668611435239207,0,0,0,0,0,0.17887253261960517,0.14709360845495723,0.17225717161550075,0.15,0.17905133366884748,0.15388777050830396,0.12872420734776044,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1.1111111111111112,1,1,0.888888888888889,0.888888888888889,1,0.8622,0.8710857142857142,0.6622,0.5622,0.57775,0.4829333333333333,1.1088933244621866,1.1224744325268146,0.9974351667141637,0.8334722453742291,0.8334722453742291,0.8334722453742291,0.8334722453742291,1.195219123505976,1.195219123505976,1.1952191235059764,1.1952191235059764,1.1952191235059764,0.5366175978588156,0.5883744338198289,0.689028686462003,0.6,0.7162053346753899,0.6155510820332158,0.5148968293910418,0.2,0.2,0.16390862944162435
Slow Queries,2.7777777777777777,3,3.666666666666667,6,7.777777777777779,9,10.11111111111111,9.4842,9.473057142857142,9.050066666666666,8.882760000000001,7.97295,5.433,13.639387890884896,13.594412571713644,13.821601595896269,14.835805967661278,14.835805967661278,14.835805967661278,14.835805967661278,21.115537848605577,21.115537848605577,21.11553784860558,21.11553784860558,21.11553784860558,10.195734359317495,11.914582284851535,13.952830900855563,12.15,14.503158027176648,12.46490941117262,10.426660795168596,4.8,4.8,3.9338071065989846
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
