Avg Threads Running,1,1,1,1.5,2.3,2.6,3.1999999999999997,3.6,4.1000000000000005,4.444444444444445,4.875,5.428571428571429,8.428571428571429,8.833333333333332,8.8,10,11,14,22,22,29,29,36,36,36,36,36,36,36,36,45,45,45,45,45,45,45,45,45,45,47,47,47,47,36,36,36,36,36,34.666666666666664,28.5,25,25,25,25,25,25,25,25,18,18,86,86,86,86,86,86,86,86,73,67.33333333333334,58,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,39.5,23,38.5,54,54,49.5,49.5,40.66666666666667,40.66666666666667,40.66666666666667,40.66666666666667,40.66666666666667,34,34,34
Peak Threads Connected,1,1,1,6,9,9,9,9,9,9,9,9,22,22,22,22,22,22,22,22,36,36,36,36,36,36,36,36,36,36,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,47,32,32,32,32,32,32,32,32,32,18,18,86,86,86,86,86,86,86,86,86,86,60,60,60,60,60,60,60,60,56,23,54,54,54,54,54,54,54,54,54,54,45,45,45
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,32,32,32,32,32,32,32,32,32,32,22,22,22,22,22,22,22,22,22,22,10,10,10,10,10,10,10,10,10,5,5,32,32,32,32,32,32,32,32,37,43,43,43,43,43,43,43,43,43,43,5,20,20,20,23,23,23,23,23,23,23,23,23,23
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0.2218278615794144,0.22304391217564873,0.22847776510832385,0.2373891843971631,0.2548644338118022,0.30607569721115535,1.124859392575928,1.124859392575928,0,0,0,0,0,0,0,0.14291839359725597,0.14291839359725597,0.14291839359725597,0.2,0.2,0.2576305220883534,0.20742971887550202,0.1572289156626506,0.1249219237976265,0.11142061281337048,0,0,0,0,0,0,0,0,0,0.22214817283127847,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,278,277,280.22222222222223,519.7777777777778,751.1111111111111,1090.111111111111,1369.888888888889,1624.4444444444446,1882.7777777777778,1798.1181000000001,1786.0523714285712,1779.0002999999997,2634.2058562555458,2386.792904191617,2062.5830245153934,1811.8729499113476,1618.6440191387558,1542.7745517928286,2435.695538057743,2435.695538057743,1598.338494353827,2337.2647427854454,2337.2647427854454,2337.2647427854454,1666.82035131744,2353.392658509455,2366.2337662337663,2336.001143347149,2336.001143347149,2336.001143347149,900.4,900.4,1159.8526104417672,933.84859437751,707.844578313253,2416.114928169894,2352.089136490251,353.8,1060.448324958124,1033.5,1033.5,1033.5,1033.5,1127.155527638191,896.3347571189281,799.1555583126549,2480.173275574808,1246.4329560585886,1478.8896804260987,1663.861974789916,1897.895588235294,1962.956932773109,1728.923319327731,1494.8897058823527,1213.9613841524574,977.5521564694081,741.1429287863591
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0.2218278615794144,0.22304391217564873,0.22847776510832385,0.2373891843971631,0.2548644338118022,0.30607569721115535,1.124859392575928,1.124859392575928,0,0,0,0,0,0,0,0.14291839359725597,0.14291839359725597,0.14291839359725597,0.2,0.2,0.2576305220883534,0.20742971887550202,0.1572289156626506,0.1249219237976265,0.11142061281337048,0,0,0,0,0,0,0,0,0,0.22214817283127847,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,0.888888888888889,1,1,1,0.888888888888889,1,1,0.888888888888889,0.8622,0.7621999999999999,0.6622,0.9982253771073648,0.8921756487025949,0.7996721778791335,0.7121675531914894,0.6371610845295055,0.6121513944223107,0.9998750156230471,0.9998750156230471,0.6864240903387704,1.0037641154328734,1.0037641154328734,1.0037641154328734,0.7158343789209536,1.1123470522803114,1.1988011988011988,1.1433471487780478,1.1433471487780478,1.1433471487780478,0.4,0.4,0.5152610441767068,0.41485943775100403,0.3144578313253012,0.8744534665833855,0.8913649025069639,0.2,0.615644891122278,0.6,0.6,0.6,0.6,0.6543718592964824,0.5203685092127304,0.4681637717121587,0.9996667777407531,0.35699067909454063,0.42356857523302266,0.5689875950380152,0.6490196078431373,0.6712685074029612,0.5912364945978391,0.511204481792717,0.5150451354062187,0.41474423269809424,0.31444332998996993
Slow Queries,4.444444444444445,4.333333333333334,4.666666666666667,7.222222222222223,9.11111111111111,12.222222222222223,14.333333333333334,16.22222222222222,17.22222222222222,16.59735,16.223971428571424,15.8928,20.629991126885535,18.289600798403193,14.85105473204105,12.581626773049646,10.959170653907496,10.712649402390436,17.747781527309087,17.747781527309087,11.32599749058971,16.56210790464241,16.56210790464241,16.56210790464241,11.811267252195734,15.461624026696327,14.585414585414586,14.434757753322852,14.434757753322852,14.434757753322852,5.6,5.6,7.213654618473896,5.808032128514056,4.402409638554216,17.613991255465336,17.381615598885794,3,9.080762144053601,8.85,8.85,8.85,8.85,9.651984924623116,7.675435510887771,6.866401985111662,20.548705986893257,11.4237017310253,13.554194407456725,13.940196078431374,15.900980392156862,16.44607843137255,14.485294117647058,12.524509803921568,8.755767301905717,7.050651955867602,5.345536609829489
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
