Avg Threads Running,2,2,2.2,2.7,3.6,4.1,4.8,5.7,6.8,7.7,8.4,8.799999999999999,8.799999999999999,9.2,9.1,9.333333333333332,10.333333333333334,11.222222222222221,11,11,11.333333333333334,12.4,14.5,15.666666666666666,18.5,18.5,19,47,47,47,47,29,29,29,29,29,29,11,11,11,11,23,23,23,23,23,21.5,20.666666666666664,24.75,24.75,29.2,30.75,30.75,30.75,27.8,25.666666666666668,25.333333333333332,29.833333333333332,37.33333333333333,37.33333333333333,35.4,35.4,35.4,35.4,40.25,48.666666666666664,64,82,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,32,32,32,32,32,32,32,32,32,32,34
Peak Threads Connected,2,2,4,7,11,11,11,11,13,13,13,13,13,13,13,13,18,19,19,19,19,19,19,19,19,19,19,47,47,47,47,47,47,47,47,47,47,11,11,11,11,23,23,23,23,23,23,23,37,37,47,47,47,47,47,47,47,47,82,82,82,82,82,82,82,82,82,82,18,19,19,19,19,19,19,19,19,19,19,32,32,32,32,32,32,32,32,32,32,34
Peak Threads Running,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35,35,35,35,35,35,35,35,35,35,1,1,1,1,9,9,9,9,9,9,9,27,27,27,27,27,27,27,27,27,39,78,78,78,78,78,78,78,78,78,78,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,11
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1714697767745172,0.2508151492350138,0.2508151492350138,0.2508151492350138,0.1790193127664911,0.15393779784298972,0,0,2.1598272138228944,2.1598272138228944,1.8973214285714282,2.2666666666666666,2.2666666666666666,2.2666666666666666,2.12261206143089,1.8922528940338377,1.8888888888888888,0.4444444444444445,0.25046963055729493,0.22343143393863496,0.25,0.25,0.25,0.23239622641509433,0.24146666666666666,0.2622,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,279.33333333333337,277.8888888888889,283.6666666666667,495.7777777777778,762.4444444444445,1093.7777777777778,1356.4444444444446,1580.4444444444446,1830.8888888888891,2153,2337.777777777778,2605.888888888889,2632.3333333333335,2549.3333333333335,2502.5555555555557,2140.303725,2530.2593659942368,2490.777777777778,2090.1175642857143,1904.9785523809521,1633.4459999999997,1396.75088,1222.6663166666667,953.1573333333333,428.2,352.673926380368,1705.4383997993477,2494.607474291447,2494.607474291447,2494.607474291447,1780.5260847755205,1531.0653373463756,2438.0165289256192,2391.084945332212,2336.2131029517636,2336.2131029517636,2409.486607142857,1265.8666666666666,1265.8666666666666,1265.8666666666666,2316.6437757522785,2311.108637577916,2350.222222222222,2399.666666666667,2268.0025046963056,2023.1716343143394,1131.25,1131.25,1131.25,1051.5929245283019,825.9367333333333,567.9251999999999,304.44939999999997,513.8238683127572,427.6,427.6,427.6,427.6,427.6,427.6,427.6,353.6938271604938
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1714697767745172,0.2508151492350138,0.2508151492350138,0.2508151492350138,0.1790193127664911,0.15393779784298972,0,0,2.1598272138228944,2.1598272138228944,1.8973214285714282,2.2666666666666666,2.2666666666666666,2.2666666666666666,2.12261206143089,1.8922528940338377,1.8888888888888888,0.4444444444444445,0.25046963055729493,0.22343143393863496,0.25,0.25,0.25,0.23239622641509433,0.24146666666666666,0.2622,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,0.888888888888889,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1,1,0.888888888888889,1,1,1,1.1111111111111112,0.888888888888889,0.888888888888889,0.754425,1.108401684770561,1,0.760675,0.7705333333333332,0.5601666666666666,0.45976,0.47886666666666666,0.3872,0,0,0.857348883872586,1.254075746175069,1.254075746175069,1.254075746175069,0.8950965638324554,0.7696889892149485,1.0078613182826042,1.009251471825063,0.8639308855291576,0.8639308855291576,1.0044642857142856,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9988762642027718,0.8904719501335707,0.888888888888889,1,0.8766437069505322,0.7820100187852224,0.375,0.375,0.375,0.3485943396226415,0.36219999999999997,0.2622,0.16219999999999998,0.24032921810699587,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1654320987654321
Slow Queries,4.333333333333334,4.222222222222222,4.666666666666667,5.111111111111112,7.222222222222223,8.444444444444445,9.777777777777779,11.11111111111111,12,14.666666666666668,16.11111111111111,18,18.77777777777778,18.11111111111111,18.11111111111111,15.5196,18.066947461760144,17.22222222222222,13.909485714285713,12.218457142857142,9.746899999999998,8.27568,6.464700000000001,5.1626666666666665,1.4,1.1530674846625766,10.802595936794582,15.801354401805867,15.801354401805867,15.801354401805867,11.27821670428894,9.698081264108351,15.722636565208626,16.31623212783852,15.982721382289416,15.982721382289416,22.76785714285714,16.8,16.8,16.8,37.20814084155325,34.617097061442564,33.77777777777778,33.88888888888889,28.428303068252973,25.359467752035066,6.875,6.875,6.875,6.3908962264150935,5.0708,3.933,2.433,4.0855967078189295,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.8123456790123456
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
