Slow Queries,4.111111111,4.111111111,3.888888889,4.555555556,5.555555556,6,6.888888889,7.666666667,8.666666667,10,10.77777778,11.55555556,12,12.44444444,12.66666667,13.44444444,13.77777778,14.11111111,13,13.44444444,14.66666667,14.33333333,14.11111111,15.77777778,17.55555556,17.55555556,18,19.22222222,19.88888889,19.33333333,20.33333333,20.88888889,19.88888889,18.11111111,18.22222222,17.44444444,16.88888889,16.88888889,16.66666667,16.44444444,15.77777778,15.44444444,14.66666667,14.11111111,14.88888889,14.77777778,14.11111111,13.77777778,13.22222222,13.11111111,13,13.88888889,14.66666667,13.88888889,15.11111111,16.33333333,16.77777778,16.77777778,18.55555556,19,19.44444444,19.11111111,19.66666667,23.65878041,29.44444444,39.88888889,52.55555556,70.55555556,93,101.8888889,119,141.4444444,147.7159053,164.4444444,183.3333333,193.6666667,184.2514438,187.8888889,199,194.6666667,198.6666667,220.3333333,212.1111111,207.4863934,212.3333333,214.873277,216.3333333,203,195.5555556,196.2243198,184.2222222,173.5555556,152.2729799,134.4444444,128.6666667,109.1111111,122.8888889,125.8888889,105.8365759,96.11111111,96.44444444,97.66666667,92.55555556,98.66666667,99.35612789,90.88888889,90,89.33333333,103,101.3333333,102.8888889,107.6666667,103.7777778,115.9919929,116.3333333,113.3333333,111.8888889,92.66666667,94.55555556,93.44444444,91.44444444
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,57.66666667,58.55555556,87,204,350.1111111,473.2222222,609.6666667,739,862.7777778,962.7777778,1117.555556,1193.888889,1216.666667,1192.222222,1214,1192.555556,1175.333333,1171.333333,1166.777778,1124.555556,1168.444444,1128.111111,1121,1084,1095,1086.666667,1097.222222,1144.111111,1180,1152.333333,1182.111111,1170.666667,1191.444444,1205.111111,1234.444444,1235.777778,1208.888889,1173.444444,1181,1221.555556,1223.888889,1213.333333,1189.333333,1167.111111,1201,1221.222222,1232,1223.444444,1163.555556,1204.222222,1198.111111,1207,1210.888889,1165.888889,1155.777778,1172.222222,1162.333333,1177.777778,1173.111111,1215.333333,1237.222222,1235.666667,1236.222222,1249.139176,1230.555556,1221.555556,1212,1232.222222,1229.555556,1202.444444,1229.888889,1257.222222,1223.630099,1252.444444,1301.888889,1331.555556,1274.211462,1270.333333,1290.888889,1278.222222,1276,1338,1303.666667,1297.678552,1304,1364.27301,1365.555556,1351.888889,1306.444444,1341.921155,1331.222222,1325.444444,1293.097699,1304,1299.444444,1253.222222,1264,1309,1289.049472,1258.333333,1261.333333,1274,1212.222222,1217.888889,1221.580817,1226.888889,1205.444444,1188,1240.333333,1227.111111,1233.111111,1255.888889,1203.666667,1271.574733,1268.444444,1264.222222,1226.333333,1166.111111,1182.222222,1189.666667,1176.333333
Table Locks Waited,0,0,0.222222222,1.888888889,4.666666667,8.333333333,10.55555556,13.33333333,15.55555556,16.77777778,20.22222222,21.77777778,22.55555556,21.44444444,22,22.33333333,21.22222222,21.55555556,22.11111111,19.77777778,20.66666667,18.88888889,19.77777778,19.22222222,19.44444444,20,19.66666667,20.88888889,21.44444444,21.66666667,23,21.77777778,21.22222222,21.66666667,21.11111111,21.22222222,20.88888889,21,19.33333333,22.22222222,21.88888889,20.88888889,19.77777778,20.44444444,22.22222222,22.11111111,22.55555556,23.44444444,20.44444444,22.44444444,23.33333333,24.11111111,23.33333333,22.11111111,22.22222222,23.88888889,23.55555556,24.33333333,23.44444444,24.55555556,26,26.33333333,25.44444444,24.76952127,25.11111111,26.77777778,27,30.55555556,30.88888889,29.88888889,30.66666667,31,31.2326331,29.77777778,29.66666667,32.22222222,28.20968458,30.33333333,31.22222222,33.33333333,33.22222222,38.55555556,37.88888889,40.76418971,43.22222222,46.68741663,43,46,43.55555556,48.75069406,46.22222222,46.44444444,42.90318995,39.11111111,39.11111111,39.11111111,38.44444444,41.33333333,41.02279044,38.22222222,37.88888889,40.22222222,40.22222222,42,41.51865009,39.55555556,36.66666667,33.88888889,37.88888889,38.55555556,36.22222222,35.77777778,32.11111111,33.80782918,37.44444444,37.33333333,35.44444444,32.77777778,34,33.33333333,32.77777778
bytes_received_rate,12319.66667,12442,15497.44444,30384.22222,48499.33333,63607.77778,80151,96549.55556,111369.3333,124008.4444,142406.5556,152476.8889,155139,152030.8889,154898.1111,152706.8889,150088.1111,149608.1111,149035,143818.3333,148241.3333,142603.4444,141702.7778,137247.3333,137721.2222,137083.5556,138370.8889,143171.6667,147598.8889,145208.6667,148961,147736.5556,149143.3333,151808.5556,154559.6667,154439.3333,151934.5556,147677.5556,146870.1111,151438.1111,151542.4444,151081,147187.8889,144560.6667,148269.8889,150392,152617.2222,152381.2222,145554.7778,150049.2222,149155.1111,150397.7778,151073.8889,146267.4444,145149.7778,147578.3333,146530.4444,148565.6667,148331.1111,152620.6667,154931.3333,155338.3333,155568.4444,155515.6059,151646.3333,148926.7778,146099.1111,145866.5556,143288.2222,139251.1111,139990.1111,140020.7778,135959.4309,137197.2222,141441.7778,143788.8889,137782.5411,138125.7778,139522.8889,138946.6667,138405,143641.6667,139644.2222,139206.1535,139820.6667,146545.687,144147.5556,144662.7778,139215.5556,145006.774,145954.7778,146738.5556,145144.048,148677.5556,150106.4444,148310.1111,147693.4444,153007.8889,152384.547,148607.3333,149195.3333,151600.5556,144368.7778,144065.3333,143882.9929,145486.2222,142481.3333,140061.7778,145061,144390.3333,144521.5556,146674.4444,140300.2222,147879.8932,147543.3333,148814.2222,144232.1111,138803.5556,140567.2222,141196.1111,139932.2222
bytes_sent_rate,152923.1111,157138.2222,160383.4444,188129.4444,225632.8889,234228.6667,259010.1111,293892.4444,320072,344322.8889,368367.7778,387204.5556,387557.6667,377450.1111,397490.3333,389251.6667,370528.7778,370237.6667,362485,376245,370330.8889,356133.8889,365372.7778,352553.5556,350299.2222,356529.1111,358808.5556,374948.6667,364829.7778,373271.3333,370897.4444,378539.4444,380324.3333,387592.4444,389502.2222,386611.4444,375230.4444,385096.1111,364487.1111,379209.2222,361666.7778,359723.6667,357773,362003.1111,365927.8889,366168,373143.3333,377593.4444,378370.1111,379717.5556,376262.6667,377817.5556,376983.6667,362654.1111,370635.7778,371711.8889,372518.3333,360424.6667,382317.2222,380110.4444,387717.5556,385464.3333,391599.6667,387790.07,364859.8889,370955.6667,374527.2222,367157.1111,367017.4444,358976.7778,363611.5556,362123.2222,350530.5102,371351,367235.4444,369431.4444,358964.4602,360738.2222,361078,365129.3333,362793.1111,368226.3333,352399.4444,365832.5003,371953.5556,374386.7274,366560.7778,378589.2222,352350.7778,366910.3831,391403.1111,379333.6667,369864.955,372267.1111,385435.6667,386958.4444,376109.7778,386965.2222,387926.5147,374499.6667,379840.8889,379174.4444,370677.1111,367200.6667,359348.357,371692,372396.5556,359549.2222,363876.8889,366911.7778,379657.3333,371110.2222,359700.5556,389433.0516,368097.3333,372780.5556,370344.8889,370513.7778,366809.6667,362266.3333,370817.7778
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,26.77777778,27.22222222,40,90.44444444,158,210.3333333,269.4444444,327.6666667,379.8888889,421.2222222,488.4444444,519.1111111,531,514.7777778,526.5555556,516.6666667,505.4444444,503.4444444,499.7777778,482.8888889,503.4444444,482.7777778,484.2222222,464.8888889,469.1111111,466.6666667,471.8888889,498.2222222,510.4444444,498.7777778,510.4444444,501.5555556,517.3333333,520.5555556,530.7777778,533.5555556,521,506.6666667,508.3333333,528.3333333,528.6666667,520.6666667,512.7777778,504.2222222,518.3333333,527.7777778,534.2222222,529.6666667,503.3333333,524.6666667,524.1111111,527.4444444,531.4444444,511.2222222,506.5555556,512.7777778,511.4444444,519,516.1111111,532.4444444,541.6666667,538.8888889,540.2222222,543.5965789,532.5555556,523,513.5555556,517.1111111,507.8888889,493.4444444,498.2222222,499,484.7171279,484.5555556,499.3333333,508.1111111,483.6739227,480.5555556,485.5555556,487.6666667,485,501.1111111,498.3333333,500.3887593,501.7777778,530.5691418,526.4444444,527.8888889,506.8888889,524.8195447,527.1111111,524.4444444,516.7277982,529.3333333,528.7777778,517.4444444,513.3333333,539.1111111,537.8543635,520,523.8888889,529.8888889,505.5555556,505.4444444,507.6598579,516.1111111,503.6666667,497.2222222,517.5555556,508.5555556,509.2222222,515.1111111,493.2222222,518.3496441,520.1111111,512.7777778,494,480.4444444,486.4444444,488.8888889,486.4444444
