Avg Threads Running,1,1,1.4,3,3.9000000000000004,4.5,5.1000000000000005,5.6,7.3,8,8.875,10,12.571428571428571,11.833333333333332,12.2,13.5,15.666666666666668,20.5,23,23,23,23,21,21,21,21,21,21,21,21,21,21,32,32,32,32,32,32,32,32,32,32,37,42,44.66666666666667,53.5,65.8,78,91.71428571428572,106.5,121,121,131.5,132.625,138,144,150.25,159.5,168.875,155.125,143.42857142857142,143.42857142857142,143.42857142857142,158,171,181.75,187.33333333333334,174.5,100,61,61,61,61,61,61,61,61,61,61
Peak Threads Connected,1,1,5,17,17,17,17,17,18,18,18,18,23,23,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,21,21,32,32,32,32,32,32,32,32,32,32,37,47,50,80,115,139,174,210,237,237,237,237,237,237,237,237,249,249,249,249,249,249,249,249,249,249,100,61,61,61,61,61,61,61,61,61,61
Peak Threads Running,1,1,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,13,27,40,75,110,135,167,204,230,230,230,230,230,230,230,230,246,246,246,246,246,246,246,246,246,246,89,29,29,29,29,29,29,29,29,29,29
com call_procedure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com change_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6795501022494888,0.5847747747747747,0.5387765419615773,0.5102942361950826,0.4918371910991837,0.479060215230428,0.46891959798994975,0.43334170854271353,0.43553887574447253,0.4434589800443459,0.444642063139173,0.4444444444444445,0.4447409384033801,0.4447409384033801,0.4444444444444445,0.444642063139173,0,0,0,0,0,0,0,0
com change_master,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com change_repl_filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com checksum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com commit,0,0,2.3333333333333335,6.111111111111112,11.444444444444445,16.555555555555557,20.88888888888889,25.555555555555557,28.555555555555554,27.698175,27.983628571428568,26.046533333333333,37.898936170212764,32.78700897308076,28.330751708428245,24.806606905710492,21.280533439490448,21.42445328031809,7.013389121338912,12.911451942740285,12.280270270270268,11.987778058645095,11.7367674324869,11.558173990830818,11.736975273145486,12.660829145728643,11.700226130653267,8.601892795953333,26.94013303769401,27.01200533570476,26.888888888888893,27.129197242606182,27.573938181009567,27.333333333333336,33.01467318808359,10.033333333333331,10.033333333333331,9.520880713489408,8.770320000000002,8.5507,8.3306,8.2593,9.8942
com create_compression_dictionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com create_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com create_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
