Avg Threads Running,1,1,1.2,1.3,1.5,2,2.1,2.5,3,3.8,4.300000000000001,4.5,4.6000000000000005,4.7,4.800000000000001,4.8999999999999995,5.1,5,4.800000000000001,4.3999999999999995,4.4,4.700000000000001,5,5.1,5.2,5.2,4.8999999999999995,4.8,4.6000000000000005,4.5,4.8,4.7,4.4,4.4,4.6,4.5,4.6000000000000005,4.699999999999999,5.1,4.9,4.3,4.2,3.999999999999999,3.9,3.9,4.2,4.4,4.6000000000000005,4.4,4.5,4.9,5,5.1,5.1,4.800000000000001,4.3999999999999995,4.5,4.5,4.300000000000001,4.3,4.3,4.2,4.199999999999999,4.800000000000001,5.4,5.8,5.9,6.1,6.6,6.8,7.5,7.6000000000000005,8.11111111111111,8,7.7142857142857135,7.5,7.8,9.8,10.5,12.333333333333334,11.5,18,18,18,25.5,25.5,27,31.5,33.666666666666664,30.5,30.5,30.5,30.5,30.5,29.666666666666664,29.666666666666664,29.5,22.333333333333332,12.666666666666668,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9,15,12,12,12,12,12,12,12,12,12,9
Peak Threads Connected,1,1,3,3,3,6,6,6,6,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,9,10,10,10,10,10,10,14,14,14,14,14,14,14,18,18,18,18,18,18,18,33,33,33,33,38,38,38,38,38,38,38,38,38,38,21,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,9
Peak Threads Running,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,9,9,19,19,21,21,21,21,21,21,21,21,21,21,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311,0.7760532150776054,0.8728179551122196,0.9971509971509972,0.8305647840531563,0.2852253280091272,0.2852253280091272,0.22237046920169004,0,0.14663654618473898,0.1343397745571659,0.13333333333333336,0.13333333333333336,0.13989533011272143,0.11976650563607086,0.1630442062960482,0.12955458807769593,0,0.44390189768061267,0.4444444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,279.55555555555554,274.33333333333337,305.55555555555554,536,617.4444444444445,754.1111111111111,960.2222222222223,1146.888888888889,1317.4444444444446,1434,1592.6666666666667,1715.3333333333335,1611.2222222222222,1698.1111111111113,1732.7777777777778,1634.2222222222222,1576.5555555555557,1517.2222222222222,1541.5555555555557,1517.111111111111,1431.5555555555557,1491.3333333333335,1458.6666666666667,1513.6666666666667,1595.2222222222222,1609.5555555555557,1616.4444444444446,1639,1667.2222222222222,1751.1111111111113,1724.7777777777778,1784.7777777777778,1706.8888888888891,1623,1653.5555555555554,1735.8888888888891,1720.8888888888891,1704.4444444444446,1753.3333333333335,1703.2222222222222,1611.111111111111,1657.5555555555554,1684.3333333333335,1706.3333333333335,1665.6666666666667,1721.1111111111113,1739.8888888888891,1715.4444444444446,1733.5555555555554,1775.3333333333335,1715.8888888888891,1767.6666666666667,1687.5555555555554,1662.8888888888891,1659,1608.8888888888891,1595.5555555555557,1612.2222222222222,1641.5555555555554,1649.2222222222222,1616.2222222222222,1622.4444444444446,1663.8888888888891,1604.2222222222222,1754.2222222222222,1918,2030,2156.888888888889,2273.777777777778,2425.5555555555557,2563,2651.3333333333335,2403.8136,2141.7819999999997,1818.5115666666666,1559.0930400000002,1259.14835,2583.2594235033257,2528.428927680798,2517.0940170940175,2496.3455149501665,2406.1608670849973,2406.1608670849973,2333.5557038025354,1004.4950554994954,1354.6284136546187,1525.6968196457328,1514.2666666666669,1514.2666666666669,1588.7912640901773,1360.1882045088566,1180.603097789685,938.1047722705962,423.8,2443.014093885252,2458.888888888889,447,447,447,447,447,447,447,369.47559095580675,533.0918367346939,445,445,445,445,445,445,445,365.98979591836735
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311,0.7760532150776054,0.8728179551122196,0.9971509971509972,0.8305647840531563,0.2852253280091272,0.2852253280091272,0.22237046920169004,0,0.14663654618473898,0.1343397745571659,0.13333333333333336,0.13333333333333336,0.13989533011272143,0.11976650563607086,0.1630442062960482,0.12955458807769593,0,0.44390189768061267,0.4444444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,0.888888888888889,0.888888888888889,0.888888888888889,1,1,0.888888888888889,1,1,1,1,1,1.1111111111111112,1,1,1,0.888888888888889,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1,1,0.888888888888889,1.1111111111111112,1.1111111111111112,1,1.1111111111111112,1,1,1,1.1111111111111112,1.1111111111111112,1,1,0.888888888888889,1,1,1.1111111111111112,0.888888888888889,0.888888888888889,1,0.888888888888889,1,1,1,0.888888888888889,1,1.1111111111111112,1.1111111111111112,0.888888888888889,1,0.888888888888889,1,0.888888888888889,1,0.888888888888889,1,0.888888888888889,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,1,1.1111111111111112,1,1,0.888888888888889,0.888888888888889,0.888888888888889,1,0.969975,0.8710857142857142,0.6622,0.5622,0.57775,1.1086474501108647,1.1221945137157108,1.1396011396011398,0.9966777408637875,0.9982886480319453,0.9982886480319453,0.8894818768067602,0.24404641775983854,0.5865461847389559,0.5373590982286636,0.5333333333333334,0.5333333333333334,0.5595813204508857,0.47906602254428343,0.4891326188881447,0.3886637642330878,0,0.9987792697813784,1.1111111111111112,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16531346351490234,0.23959183673469386,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16448979591836735
Slow Queries,3.2222222222222223,2.666666666666667,2.888888888888889,4.111111111111112,5.222222222222222,6.222222222222223,8.11111111111111,9.666666666666668,11.333333333333334,12.333333333333334,13.666666666666668,14.222222222222223,14,14.222222222222223,14.222222222222223,12.333333333333334,11.88888888888889,11.11111111111111,10.333333333333334,10,9.222222222222223,9.555555555555555,9.444444444444445,10.11111111111111,10.555555555555555,10.444444444444445,10.666666666666668,11.444444444444445,12.11111111111111,13,12.222222222222223,12.777777777777779,12.555555555555555,12.777777777777779,12.666666666666668,12.555555555555555,12.11111111111111,11.444444444444445,11.777777777777779,11.777777777777779,11,10.777777777777779,11.555555555555555,12.555555555555555,12.88888888888889,14.333333333333334,14.444444444444446,14.666666666666668,14.666666666666668,14.88888888888889,14.88888888888889,13.777777777777777,12.333333333333334,11.777777777777779,10.444444444444445,10.666666666666668,10.777777777777779,11.11111111111111,11.444444444444445,11.666666666666668,13,13.333333333333334,14.11111111111111,14.444444444444446,15,14.555555555555557,14.777777777777777,15,15.11111111111111,15.222222222222223,17.444444444444446,18.333333333333336,16.3818,14.590685714285712,13.464733333333333,12.14352,10.515049999999999,18.736141906873616,18.453865336658357,16.80911680911681,15.614617940199338,14.831717056474616,14.831717056474616,14.231710028908163,5.8571140262361245,8.065010040160644,9.672463768115943,9.600000000000001,9.600000000000001,10.072463768115941,8.623188405797102,7.826121902210315,6.218620227729405,3.4,15.869492842081902,16.666666666666668,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3.967523124357656,4.552244897959183,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.1253061224489795
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
