Avg Threads Running,2,2,2.3,3.1,4,4.8,5.699999999999999,6.699999999999999,7.600000000000001,8.5,9.222222222222221,10.125,10.857142857142858,11,11,11.25,11.333333333333332,11,11,26,26,26,26,26,25.5,25.5,25.5,25.5,25.5,25,25,25,25,25,35,41,40.66666666666667,40.5,41,40.833333333333336,40.285714285714285,40.25,39.666666666666664,39.199999999999996,37,34.3,32.4,30,27.099999999999998,23.6,20.5,17.799999999999997,15.4,12.700000000000001,12.666666666666666,11.75,10.428571428571429,9.5,8.6,9.5,10.666666666666666,9.5,8,13,13,13,16.5,16.5,16.5,16.5,16.5,14.333333333333334,14.333333333333334,15,15,15,10,10,10,10,10,32,32,32
Peak Threads Connected,2,2,5,10,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,35,47,47,47,47,47,47,47,47,47,47,43,43,43,40,40,40,35,35,21,21,21,16,14,13,13,13,11,8,13,13,13,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,32,32,32
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,6,20,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,9,9,9
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1987046632124352,0.8497823860727088,0.7274153777180005,1.3471097900328863,1.9017524534348087,2.1975936719400497,2.155286022388826,2.228507324280146,2.6806656986484976,2.113929684023142,2.111111111111111,2.1160485577458514,1.5555555555555558,1.0044642857142858,0.6705409029950827,0.6668148477439431,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,287.6666666666667,286.11111111111114,476.88888888888886,720,1016,1345.6666666666667,1604.4444444444446,1932.6666666666667,2149.1111111111113,2392,2290.21875,2096.703314285714,1852.2837666666667,1554.14568,1222.17235,959.8300000000002,619.4475,402.90479999999997,2516.2259615384614,2516.2259615384614,2516.2259615384614,2516.2259615384614,2516.2259615384614,529.1082383419689,725.7141577060933,880.9000224164986,1082.1332943334176,1356.2030662928098,1563.4658090480152,1701.1193622265582,1863.3839926757198,1998.8830559588964,2008.4557187360926,2053.888888888889,2115.2689609087874,2263.5555555555557,2304.7991071428573,2354.380867232901,2435.5412313847523,2563.1111111111113,2653,2656.222222222222,2307.4627499999997,2081.5681999999997,1739.3786666666667,1441.1434800000002,1189.2405999999999,971.0582,683.031,387.9824,1405.8951072386058,1669.4674932975872,1933.0398793565685,2012.1115951742627,1748.5392091152814,2540.9159159159162,2540.9159159159162,2484.4249201277953,2484.4249201277953,2484.4249201277953
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1987046632124352,0.8497823860727088,0.7274153777180005,1.3471097900328863,1.9017524534348087,2.1975936719400497,2.155286022388826,2.228507324280146,2.6806656986484976,2.113929684023142,2.111111111111111,2.1160485577458514,1.5555555555555558,1.0044642857142858,0.6705409029950827,0.6668148477439431,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,1,1,1,1.1111111111111112,1.1111111111111112,0.888888888888889,1.1111111111111112,1,0.888888888888889,0.754425,0.7621999999999999,0.6622,0.44976000000000005,0.34665,0.36219999999999997,0.1311,0.16219999999999998,1.001602564102564,1.001602564102564,1.001602564102564,1.001602564102564,1.001602564102564,0.47948186528497405,0.3399129544290835,0.43644922663080027,0.5388439160131545,0.6339174844782696,0.8546197613100193,0.8381667864845432,0.9383188733811141,1.0052496369931867,0.8900756564307967,1,1.002338790511193,1,1.1160714285714286,0.8940545373267769,1.0002222716159146,1,1.1111111111111112,1.1111111111111112,0.969975,0.8710857142857142,0.7725666666666666,0.5622,0.57775,0.4829333333333333,0.3933,0.16219999999999998,0.7150134048257372,0.8490616621983914,0.9831099195710455,1.0233243967828418,0.8892761394101877,1.001001001001001,1.001001001001001,0.7987220447284346,0.7987220447284346,0.7987220447284346
Slow Queries,4.555555555555555,4.333333333333334,4.888888888888889,6.111111111111112,7.222222222222223,9.333333333333334,11,14.333333333333334,15.444444444444446,16.666666666666668,15.735149999999999,15.135114285714284,13.685466666666665,12.14352,9.82175,7.726933333333333,4.1952,2.7573999999999996,23.237179487179485,23.237179487179485,23.237179487179485,23.237179487179485,23.237179487179485,17.261347150259066,21.924385560675884,27.05985205110962,40.54800467998988,55.150821149609456,68.85793505412155,72.6810341994454,80.22626367408525,89.46721769239362,88.00623052959502,83.33333333333334,79.29613542710771,68.11111111111111,56.25,43.24988824318283,39.453211824849966,33,22,16.77777777777778,14.549625,12.630742857142856,11.036666666666665,8.433,7.279649999999999,6.278133333333334,4.3263,2.433,14.300268096514746,16.98123324396783,19.66219839142091,20.466487935656836,17.785522788203753,24.64964964964965,24.64964964964965,23.36261980830671,23.36261980830671,23.36261980830671
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
