Avg Threads Running,1,1,1.1,1.4000000000000001,1.6,2.4000000000000004,2.5999999999999996,3,3.4,3.5999999999999996,4.1,4.3,4.7,4.7,4.9,4.4,4.5,4.4,4.3999999999999995,4.5,4.800000000000001,5.1,4.800000000000001,5,5.1,5.6000000000000005,5.599999999999999,5.5,5.3,5.5,5,4.800000000000001,4.8999999999999995,5,5.3,5.300000000000001,5.4,5.400000000000001,5.300000000000001,5.1,5.1,5.1,5.1,4.7,4.8,4.3,4.2,4.3999999999999995,4.6,4.499999999999999,4.6,4.7,4.9,5,4.700000000000001,4.9,5.1,5,5.199999999999999,5.1000000000000005,5.3,5.199999999999999,5.1,5.499999999999999,5.6,5.699999999999999,5.7,5.8,5.8,6.2,6.199999999999999,6.5,6.5,6.3,6.6,6.8999999999999995,7,9.88888888888889,10.375,11,11.666666666666668,12.6,14.5,17.333333333333336,20.5,31,31,13,13,13,15.5,16,14.25,14.25,14.25,14.25,14.25,14.666666666666668,14.666666666666668,14.666666666666668,13,9
Peak Threads Connected,1,1,2,4,4,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,11,11,11,31,31,31,31,31,31,31,31,31,31,13,13,13,18,18,18,18,18,18,18,18,18,18,17,9
Peak Threads Running,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,14,14,14,14,14,14,14,14,14,14,2,2,2,6,6,6,6,6,6,6,6,6,6,5,2
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0.2218770800976259,0.2173303861100217,0.2201454234388366,0.22405719986697706,0.22986637415237335,0.239412057797708,0.2580955540809555,0.3121151936444886,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,277.6666666666667,278.33333333333337,345.77777777777777,530.3333333333334,628.7777777777778,772.3333333333334,921,1108.6666666666667,1287.4444444444446,1460.4444444444446,1584.4444444444446,1697,1676,1714.1111111111113,1752.1111111111113,1722.5555555555554,1690.8888888888891,1622.6666666666667,1610.2222222222222,1633,1632.4444444444446,1616.5555555555557,1663.8888888888891,1654.6666666666667,1737.8888888888891,1774.6666666666667,1829.6666666666667,1864.3333333333335,1878.7777777777778,1821.4444444444446,1805.2222222222222,1821.5555555555554,1791.6666666666667,1742.7777777777778,1716.2222222222222,1653.1111111111113,1624.3333333333335,1616,1622,1593.3333333333335,1544.6666666666667,1558.7777777777778,1585,1573.111111111111,1645,1597.2222222222222,1578.3333333333335,1623.6666666666667,1650.1111111111113,1681.3333333333335,1642.1111111111113,1647.2222222222222,1656.1111111111113,1652,1668,1695.4444444444446,1680.4444444444446,1759,1739.2222222222222,1772.5555555555554,1708.4444444444446,1684.5555555555554,1731.5555555555554,1836.1111111111113,1953,2040.3333333333335,2070.4444444444443,2207.5555555555557,2276,2394.222222222222,2453.777777777778,2470.3333333333335,2446.222222222222,2472.222222222222,2454.777777777778,2506.4444444444443,2110.7733749999998,2476.4810295096518,2163.089332953046,1959.844632164243,1731.2899833721317,1521.2556641404067,1222.0788490284006,1015.4769575315195,777.1668321747766,1346.6724388631858,1429.2155298263276,1617.5055901870098,1605.6,1605.6,1683.1275889804947,1440.9799919565653,666.7499999999999,666.7499999999999,595.5774910118129,377.2772
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0.2218770800976259,0.2173303861100217,0.2201454234388366,0.22405719986697706,0.22986637415237335,0.239412057797708,0.2580955540809555,0.3121151936444886,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,1.1111111111111112,0.888888888888889,1,1,1,0.888888888888889,1.1111111111111112,1,0.888888888888889,0.888888888888889,1.1111111111111112,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1.1111111111111112,1,1.1111111111111112,0.888888888888889,1,1,1.1111111111111112,1,1.1111111111111112,1,0.888888888888889,1,1.1111111111111112,0.888888888888889,0.888888888888889,0.888888888888889,1,1,0.888888888888889,1,0.888888888888889,0.888888888888889,1,1.1111111111111112,1,1,1,1,1,1.1111111111111112,1,1,1,1.1111111111111112,0.888888888888889,0.888888888888889,1.1111111111111112,1,0.888888888888889,1.1111111111111112,1,0.888888888888889,1,1.1111111111111112,1.1111111111111112,0.888888888888889,1,1.1111111111111112,0.888888888888889,1.1111111111111112,1.1111111111111112,1,0.888888888888889,0.888888888888889,1.1111111111111112,1.1111111111111112,0.8622,0.9984468604393166,0.7606563513850759,0.6604362703165098,0.5601429996674426,0.5746659353809334,0.478824115595416,0.2580955540809555,0.1560575968222443,0.3545274289491077,0.44129750818021646,0.5372880219853877,0.5333333333333333,0.5333333333333333,0.559085729606542,0.4786513841410282,0.29999999999999993,0.29999999999999993,0.26797637390857726,0.16219999999999998
Slow Queries,3.3333333333333335,3.1111111111111116,3.7777777777777777,4.888888888888889,5.777777777777778,6.666666666666667,8.222222222222223,8.777777777777779,10,10.666666666666668,11.88888888888889,12.444444444444446,12.333333333333334,11.88888888888889,11.88888888888889,10.777777777777779,10.88888888888889,10.555555555555555,10.88888888888889,10.666666666666668,10,9.777777777777779,9.88888888888889,9.555555555555555,9.777777777777779,10.444444444444445,11.666666666666668,12,12.333333333333334,12.444444444444446,12.444444444444446,13.666666666666668,14.222222222222223,14.222222222222223,13.333333333333334,12.666666666666668,12.222222222222223,11.444444444444445,11.222222222222223,10.666666666666668,9.666666666666668,9.555555555555555,9.444444444444445,10,10,10.444444444444445,11.444444444444445,12.11111111111111,13,14.222222222222223,14.333333333333334,15,15,15.444444444444446,14.333333333333334,14.222222222222223,13.88888888888889,14,12.88888888888889,13.444444444444446,12.666666666666668,13.333333333333334,13.555555555555557,14.555555555555557,16.11111111111111,16.77777777777778,18.77777777777778,22,22.22222222222222,23.88888888888889,25.11111111111111,24.888888888888893,24.555555555555557,24.22222222222222,24.555555555555557,24.11111111111111,19.18395,21.854892389616154,18.90774359157189,15.740397775876819,14.003574991686065,12.987450139609095,10.414424514200299,8.64620106171201,5.930188679245283,8.863185723727693,9.267247671784546,10.342794423218715,10.266666666666666,10.266666666666666,10.762400294925934,9.214039144714793,4.049999999999999,4.049999999999999,3.6176810477657932,2.2708
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
