Avg Threads Running,1,1,1.5,2.5,2.8000000000000003,3.6,4.1000000000000005,4.3,5.2,5.666666666666666,6.25,7,7.166666666666666,6.4,7,6.333333333333334,6.5,10,20,20,20,20,20,15.5,15.5,15.5,15.5,15.5,11,11,11,11,11,81,78.5,72.33333333333333,72.33333333333333,72.33333333333333,72.33333333333333,72.33333333333333,71.75,72.4,75,79.5,80.2,95.4,102.5,109.14285714285714,116.125,124,139.22222222222223,156.44444444444446,174.33333333333334,189.77777777777777,195.1,206.1,216.79999999999995,226.5,234.9,240,242.79999999999998,242.8,241.2,241.2,241.8,241.9,242.29999999999998,242.5,242.09999999999997,243.2,243.7,244.5,244.4,242.49999999999997,242.19999999999996,242.39999999999998,241.5,241.6,241.8,240.7,241.6,241.7,242.29999999999998,243.8,241.7,240.19999999999996,241.1,239.99999999999997,240.20000000000005,240.9,240
Peak Threads Connected,1,1,6,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,11,11,11,11,11,81,81,81,81,81,81,81,81,81,88,108,108,136,138,149,165,187,207,230,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,47,59,59,59,59,59,59,59,71,81,100,100,126,135,144,162,184,206,228,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,248,249,249,249,249,249,249,249,249,249,249,249
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40072129833700665,0.40072129833700665,0.40072129833700665,0.40072129833700665,0.40072129833700665,1.9378151260504204,1.3598360655737705,1.2,1.2,1.2,1.2,1.7209235623117742,1.6348088531187124,1.45218945487042,0.6666666666666667,0.75,0.6486689351481185,0.872793109215588,0.8463975259110665,1.1279608973555582,1.3364517206815905,1.5555555555555558,2,2.888888888888889,2.8139609169485156,2.894356005788712,3,3,3.1111111111111116,2.888888888888889,2.888888888888889,2.4444444444444446,1.4444444444444444,1.777777777777778,1.5555555555555558,1.4444444444444444,1.5555555555555558,1.4444444444444444,1.3333333333333335,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,1,0.888888888888889,0.888888888888889,0.6666666666666667,0.888888888888889,1,1,1,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.888888888888889,0.888888888888889,0.7777777777777779,0.5555555555555556,0.7777777777777779,0.7777777777777779,0.6666666666666667,0.6666666666666667
table_open_cache_hits,285.44444444444446,289.55555555555554,310.22222222222223,537,837.7777777777777,1109.7777777777778,1367.2222222222222,1614.7777777777778,1874.1111111111113,1787.8794750000002,1774.292714285714,1746.0006666666663,1515.1290000000001,1210.61735,936.6492000000001,675.8205,427.88359999999994,2434.7826086956525,2434.7826086956525,2434.7826086956525,2434.7826086956525,2434.7826086956525,592.4869747899161,772.7268442622951,681.9,681.9,681.9,681.9,2417.754194751183,2369.08953722334,2375.670241286863,2336.222222222222,2365.75,1526.966673338671,1718.4049473156047,1848.8949383865881,2161.549066299035,2078.5165385900436,2060.3333333333335,1928.7777777777778,1811.6666666666667,1360.4328549730676,1369.3643548925747,1225.3333333333335,1137.888888888889,997.1111111111111,911.5555555555557,757.8888888888889,720.1111111111111,715.2222222222223,784,803.8888888888889,799.1111111111111,795.4444444444445,800.4444444444446,790.1111111111111,812.5555555555555,784.8888888888889,724.1111111111111,694.5555555555555,696.4444444444445,724.2222222222223,768.4444444444445,756,759.7777777777778,766.5555555555555,763.3333333333334,779,773.8888888888889,743,735.4444444444445,745,760.6666666666667,803.2222222222223,822.3333333333334,821.8888888888889,823.3333333333334,797.6666666666667,810.1111111111111
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40072129833700665,0.40072129833700665,0.40072129833700665,0.40072129833700665,0.40072129833700665,1.9378151260504204,1.3598360655737705,1.2,1.2,1.2,1.2,1.7209235623117742,1.6348088531187124,1.45218945487042,0.6666666666666667,0.75,0.6486689351481185,0.872793109215588,0.8463975259110665,1.1279608973555582,1.3364517206815905,1.5555555555555558,2,2.888888888888889,2.8139609169485156,2.894356005788712,3,3,3.1111111111111116,2.888888888888889,2.888888888888889,2.4444444444444446,1.4444444444444444,1.777777777777778,1.5555555555555558,1.4444444444444444,1.5555555555555558,1.4444444444444444,1.3333333333333335,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,1,0.888888888888889,0.888888888888889,0.6666666666666667,0.888888888888889,1,1,1,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.888888888888889,0.888888888888889,0.7777777777777779,0.5555555555555556,0.7777777777777779,0.7777777777777779,0.6666666666666667,0.6666666666666667
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9689075630252102,0.6799180327868852,0.6,0.6,0.6,0.6,1.0038720780152015,0.880281690140845,0.7819481680071492,0.33333333333333337,0.375,0.2594675740592474,0.37405418966382337,0.3627417968190285,0.5013159543802481,0.7795968370642611,0.888888888888889,1.2222222222222223,1.777777777777778,1.758725573092822,1.8924635422464653,2.111111111111111,2.111111111111111,2.2222222222222223,2,2.2222222222222223,1.8888888888888888,1.3333333333333335,1.4444444444444444,1.2222222222222223,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.888888888888889,0.888888888888889,0.6666666666666667,0.7777777777777779,0.5555555555555556,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.4444444444444445,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445
Sort Scan,1,1.1111111111111112,1,1,0.888888888888889,0.888888888888889,0.888888888888889,1,0.888888888888889,0.754425,0.6533142857142856,0.6622,0.44976000000000005,0.4622,0.36219999999999997,0.2622,0,0.8014425966740133,0.8014425966740133,0.8014425966740133,0.8014425966740133,0.8014425966740133,0.4844537815126051,0.509938524590164,0.45,0.45,0.45,0.45,1.147282374874516,1.0060362173038229,1.1170688114387846,1,1,0.5189351481184948,0.6234236494397056,0.725483593638057,1.0026319087604962,1.002338790511193,1,0.888888888888889,0.888888888888889,1.0552353438556934,1.1132138483802738,1,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,0.888888888888889,1,0.888888888888889,1,1,1,0.888888888888889,1,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.888888888888889,0.888888888888889,1,1,1,1,0.888888888888889,1,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1,0.888888888888889,0.888888888888889
Slow Queries,5,5.444444444444445,5.333333333333334,7,9.555555555555555,12.11111111111111,15.222222222222223,17.666666666666668,18.555555555555557,17.6751,17.31282857142857,16.996466666666667,14.954520000000002,12.13275,9.175733333333334,5.7684,2.433,15.427769985974754,15.427769985974754,15.427769985974754,15.427769985974754,15.427769985974754,20.589285714285715,24.137090163934428,21.3,21.3,21.3,21.3,46.321525885558586,44.39134808853119,42.44861483467381,35.22222222222222,32.5,16.346457165732588,18.203970563639405,19.829884892773556,23.68717884446672,23.053792181757437,21.333333333333336,20,18.555555555555557,15.359536671677313,16.030279416675945,14.11111111111111,13.555555555555557,12.333333333333334,11.444444444444445,10.777777777777779,10.555555555555555,11.666666666666668,12.11111111111111,11.333333333333334,12.444444444444446,12.444444444444446,11.88888888888889,12.666666666666668,13,12.555555555555555,12.222222222222223,12.333333333333334,13.777777777777777,14.777777777777777,14.777777777777777,14.777777777777777,14.444444444444446,14.444444444444446,15,14.88888888888889,14.666666666666668,14.222222222222223,14.333333333333334,15.666666666666668,15.88888888888889,16.444444444444446,16.88888888888889,17.666666666666668,17,16.88888888888889,16.77777777777778
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,58.44444444444444,62.44444444444444,74.11111111111111,192.77777777777777,351.44444444444446,497.44444444444446,635.4444444444445,767.2222222222223,902.6666666666667,870.067575,871.7390285714285,865.1643,752.7858,601.20665,464.0989333333334,333.3873,210.04899999999998,1194.1494690442798,1194.1494690442798,1194.1494690442798,1194.1494690442798,1194.1494690442798,265.9651260504202,362.73627049180334,320.1,320.1,320.1,320.1,1185.572924135953,1162.4748490945672,1167.225201072386,1159.2222222222222,1174.625,754.4019715772617,849.1030105368791,911.5701354062187,1066.675021932573,1025.8380665998443,1014.7777777777777,948.1111111111111,887.6666666666667,657.8806127082551,658.2433485472559,580.6666666666667,533.7777777777778,459.2222222222223,411.11111111111114,330.11111111111114,309.55555555555554,308.8888888888889,348.44444444444446,356.8888888888889,356.22222222222223,354.6666666666667,355.55555555555554,351.11111111111114,363.44444444444446,346.33333333333337,314.6666666666667,296,299.44444444444446,316.8888888888889,340.77777777777777,334.8888888888889,334.6666666666667,338.77777777777777,338.55555555555554,344.55555555555554,340.8888888888889,325.11111111111114,319.33333333333337,325.77777777777777,332.22222222222223,358.44444444444446,369.77777777777777,370,369.11111111111114,355.22222222222223,360.22222222222223
Table Locks Waited,0,0,0.11111111111111112,2,5,7.777777777777779,9.666666666666668,13.222222222222223,16.11111111111111,15.627375,15.788428571428572,15.8928,14.27988,11.555,9.055,7.6038,4.2172,26.04688439190543,26.04688439190543,26.04688439190543,26.04688439190543,26.04688439190543,40.209663865546226,33.4859631147541,29.55,29.55,29.55,29.55,45.461064104402695,41.62474849094567,39.20911528150134,22.11111111111111,21,11.15710568454764,11.969734069242348,12.816876820939006,14.538162677027197,13.698630136986301,13.444444444444446,12,11.11111111111111,7.503895778529374,8.015139708337973,7.222222222222223,7.111111111111112,6.666666666666667,6,5.888888888888889,6.222222222222223,6.888888888888888,7.888888888888888,8.222222222222223,8.333333333333334,8.333333333333334,8.11111111111111,9.444444444444445,9.11111111111111,8.11111111111111,7.111111111111112,7,7.222222222222223,8.666666666666668,8.555555555555555,8.11111111111111,9.11111111111111,8.555555555555555,8.88888888888889,9.333333333333334,8.666666666666668,7.555555555555555,6.666666666666667,7.333333333333334,10.222222222222223,8.11111111111111,7.888888888888888,8.555555555555555,8.777777777777779,9,9.444444444444445
bytes_received_rate,12268.444444444445,13036,14129.777777777777,28473.77777777778,48072.77777777778,65761.55555555556,82294.88888888889,98651,114400.8888888889,109833.71805,109381.36205714285,108395.73873333333,94130.15796000001,74677.76955,57716.57000000001,41499.1806,25576.669199999997,147024.64435984773,147024.64435984773,147024.64435984773,147024.64435984773,147024.64435984773,34442.72605042017,45421.41424180328,40082.55,40082.55,40082.55,40082.55,142901.47712605767,139836.2676056338,140878.12779267202,138542.22222222222,140231.875,90628.78027421937,101361.07963037297,108734.39278908152,126068.93094372729,120608.75375877049,118139.33333333334,108557.77777777778,100397.33333333334,72777.70569178254,72661.80563286207,62869,57032.44444444445,48617,43396.11111111111,34686,32289.888888888887,31360.77777777778,34576.11111111111,35022.77777777778,35579.222222222226,35115.333333333336,35090.88888888889,34936.333333333336,36374.11111111111,34577.88888888889,32800.333333333336,30882.666666666668,31074.555555555555,32801.77777777778,34569.66666666667,34019.66666666667,33673.66666666667,33819,34381.333333333336,34129.11111111111,33946.11111111111,33043.66666666667,31751.666666666668,32550.111111111113,32751.222222222226,34700.222222222226,35804.333333333336,35520.444444444445,36033.333333333336,34707.333333333336,34789.222222222226
