Avg Threads Running,1,1,1.3,1.4,1.9,2.3,2.8000000000000003,3,3.4,4,4.3999999999999995,4.7,4.7,4.8,4.7,4.7,4.499999999999999,4.6000000000000005,4.699999999999999,4.500000000000001,4.5,4.5,4.5,4.800000000000001,4.699999999999999,5,5,5.1,4.7,4.8,4.7,5,5.199999999999999,4.8999999999999995,4.7,4.3999999999999995,4.5,4.5,4.7,4.7,4.699999999999999,4.500000000000001,4.3,4.3,4.5,4.699999999999999,4.6,4.8,4.800000000000001,4.9,5.1,4.699999999999999,4.5,4.5,4.5,4.199999999999999,4.3,4,3.8,3.9000000000000004,4.2,4.3,4.3999999999999995,4.5,4.8,5,5,5.3,5.5,5.2,4.9,5.1,5.699999999999999,6,6.1000000000000005,6.6,6.6000000000000005,6.3,6.3999999999999995,6.8,7,7,6.7,6.4,6.3,6.5,6.666666666666667,7,7.2857142857142865,7,6.8,7.5,8,10,13,29,23,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,16.333333333333332,19.666666666666668,24.5
Peak Threads Connected,1,1,4,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,29,29,29,29,29,29,29,29,29,29,22,27,27
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,14,14,14,14,14,14,14,14,14,14,10,9,9
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,275.6666666666667,278.8888888888889,359.6666666666667,451.2222222222223,581.1111111111111,714.8888888888889,871.4444444444446,986.6666666666667,1203.7777777777778,1359.111111111111,1486,1533.5555555555557,1594.7777777777778,1593.6666666666667,1627.5555555555557,1661.4444444444446,1698.3333333333335,1602.2222222222222,1585.6666666666667,1605.4444444444446,1600.111111111111,1634.5555555555557,1620.111111111111,1595.7777777777778,1533.6666666666667,1507.6666666666667,1580.6666666666667,1630,1641.5555555555554,1676.8888888888891,1623.7777777777778,1661,1639.7777777777778,1625.111111111111,1631.3333333333335,1602.7777777777778,1592.3333333333335,1587,1597.111111111111,1623.3333333333335,1608.2222222222222,1699,1729.4444444444446,1798.6666666666667,1760.6666666666667,1696.1111111111113,1709.2222222222222,1701.6666666666667,1756.8888888888891,1763.8888888888891,1704.4444444444446,1725.4444444444446,1644.3333333333335,1649.1111111111113,1693,1661.2222222222222,1669.8888888888891,1630.111111111111,1620.5555555555557,1638.3333333333335,1603.7777777777778,1603.8888888888891,1630.3333333333335,1647,1747.4444444444446,1865.8888888888891,1947,2040.1111111111113,2073.666666666667,2081.3333333333335,2184.666666666667,2284.3333333333335,2348,2444,2362,2332.1111111111113,2384.777777777778,2395.5555555555557,2469.888888888889,2489.1111111111113,2482.5555555555557,2463.1111111111113,2394,2440.5555555555557,2451.222222222222,2436.888888888889,2127.801825,1911.2709428571427,1661.6805333333334,1407.86124,1190.28055,925.3002666666667,666.9057,433.88499999999993,443.68276573787415,775.2012061960386,685.65,685.65,685.65,685.65,685.65,685.65,606.893689690198,2459.773936170213,2413,449.4
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,0.888888888888889,1.1111111111111112,1,1,1,1,1.1111111111111112,0.888888888888889,1,1.1111111111111112,0.888888888888889,0.888888888888889,1.1111111111111112,0.888888888888889,1,1,1.1111111111111112,1,0.888888888888889,1,1,0.888888888888889,1,1,1,1,1,1.1111111111111112,1.1111111111111112,1,1,1,1,1,0.888888888888889,1,1,0.888888888888889,1.1111111111111112,1,1,1,1,1,0.888888888888889,1,1.1111111111111112,1,1,1.1111111111111112,1.1111111111111112,1,1.1111111111111112,1,0.888888888888889,0.888888888888889,0.888888888888889,1.1111111111111112,0.888888888888889,1,0.888888888888889,1,1,1.1111111111111112,1,1.1111111111111112,1,1,1,1.1111111111111112,0.888888888888889,1.1111111111111112,0.888888888888889,1.1111111111111112,1,0.888888888888889,1.1111111111111112,0.888888888888889,0.888888888888889,1,1,1,0.888888888888889,0.888888888888889,1,0.888888888888889,0.8622,0.7621999999999999,0.6622,0.44976000000000005,0.4622,0.36219999999999997,0.2622,0.16219999999999998,0.48121775025799796,0.3391823260538344,0.3,0.3,0.3,0.3,0.3,0.3,0.2655408836973082,0.9973404255319149,1.1111111111111112,0.2
Slow Queries,2.888888888888889,3.1111111111111116,3.8888888888888893,4.777777777777778,5.666666666666667,6.888888888888888,8,9.11111111111111,11.11111111111111,12,12.666666666666668,12.555555555555555,12.555555555555555,12,11.777777777777779,11.88888888888889,11.555555555555555,11.333333333333334,11.444444444444445,11.777777777777779,12.222222222222223,12.444444444444446,13.555555555555557,14,14.444444444444446,14.555555555555557,14.333333333333334,14.222222222222223,13.88888888888889,13.555555555555557,13.555555555555557,12.88888888888889,12.222222222222223,11.333333333333334,10.333333333333334,9.222222222222223,9.11111111111111,9.555555555555555,9.777777777777779,8.88888888888889,9.555555555555555,10.222222222222223,10,12,12.222222222222223,11.777777777777779,11.88888888888889,11.333333333333334,12,11.222222222222223,10.555555555555555,10.777777777777779,9.444444444444445,9.666666666666668,10,8.88888888888889,9,9.777777777777779,9.666666666666668,10,10.444444444444445,11.88888888888889,12.777777777777779,13.222222222222223,14,14.777777777777777,15.222222222222223,16.11111111111111,16.77777777777778,17.88888888888889,17.11111111111111,17.11111111111111,17.666666666666668,18.22222222222222,18.333333333333336,17.77777777777778,19,18.555555555555557,17.88888888888889,18.22222222222222,18.22222222222222,17.555555555555557,17.88888888888889,17.77777777777778,18.444444444444446,16.666666666666668,14.765175,12.957399999999998,11.036666666666665,9.22008,8.204049999999999,6.157400000000001,4.4574,1.7841999999999998,3.8497420020639836,5.087734890807516,4.5,4.5,4.5,4.5,4.5,4.5,3.9831132554596236,16.622340425531913,16.555555555555557,2.6
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3292666666666667,1.9756,3.512177777777778,5.158511111111111,5.487777777777778,5.487777777777778,5.487777777777778,5.487777777777778,5.487777777777778,5.222222222222222,3.555555555555556,2,0.33333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3292666666666667,1.9756,3.512177777777778,5.158511111111111,5.487777777777778,5.487777777777778,5.487777777777778,5.487777777777778,5.487777777777778,5.222222222222222,3.555555555555556,2,0.33333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,54.777777777777786,57.88888888888889,100,150.44444444444446,220.44444444444443,293.77777777777777,376.8888888888889,436.6666666666667,552.5555555555555,635.7777777777778,703.2222222222223,727.5555555555555,759.7777777777778,757.4444444444445,773.1111111111111,790.3333333333334,809.6666666666667,761.2222222222223,749.4444444444445,761,759.4444444444445,776.2222222222223,770.2222222222223,759.4444444444445,728,715.3333333333334,749.4444444444445,777.4444444444445,781.4444444444445,799.5555555555555,771.6666666666667,790.5555555555555,777.8888888888889,771.8888888888889,774.3333333333334,761.1111111111111,755.8888888888889,754.5555555555555,762,775,768.3333333333334,816.8888888888889,828.8888888888889,865.1111111111111,845.2222222222223,812.2222222222223,817.5555555555555,811.6666666666667,839,842.6666666666667,811.2222222222223,824.1111111111111,781.5555555555555,783.7777777777778,806.3333333333334,791.5555555555555,795.1111111111111,778.1111111111111,772,782,761.8888888888889,763.7777777777778,777.4444444444445,786.7777777777778,839.8888888888889,903.2222222222223,943.7777777777777,991.8888888888889,1010.6666666666667,1019.8888888888889,1071.2222222222222,1125.3333333333335,1159.111111111111,1205.5555555555557,1164.3333333333335,1148.4444444444446,1178.111111111111,1183.3333333333335,1221.2222222222222,1234.111111111111,1228.3333333333335,1218.5555555555557,1185.7777777777778,1206.5555555555557,1213.4444444444446,1201.6666666666667,1049.2974,941.5347714285714,816.9340666666666,692.6304,585.49185,453.23293333333334,326.8323,211.3466,222.32260061919504,386.3286693753174,341.7,341.7,341.7,341.7,341.7,341.7,302.45106653123406,1216.5336879432625,1192.111111111111,221
Table Locks Waited,0,0,0.5555555555555556,0.888888888888889,2.111111111111111,3.2222222222222223,4.333333333333334,4.777777777777778,6.555555555555555,7.555555555555555,7.888888888888888,8.222222222222223,8.333333333333334,8.444444444444445,9.333333333333334,9,9.444444444444445,8.555555555555555,9.222222222222223,10.11111111111111,10,10.444444444444445,9.777777777777779,8.333333333333334,8.555555555555555,8.555555555555555,10.333333333333334,9.333333333333334,9,9.11111111111111,9.222222222222223,9.555555555555555,9.88888888888889,9.333333333333334,8.777777777777779,7.555555555555555,7.777777777777779,9.333333333333334,9.88888888888889,10.88888888888889,10.666666666666668,11,11.777777777777779,12.88888888888889,12,11.88888888888889,11.222222222222223,11.555555555555555,11.444444444444445,11.555555555555555,11.88888888888889,11.222222222222223,10.555555555555555,10.777777777777779,11.222222222222223,10.222222222222223,9.88888888888889,8.444444444444445,8,7.444444444444445,8.11111111111111,8.666666666666668,9.555555555555555,10.222222222222223,10.777777777777779,13.777777777777777,16.666666666666668,17.88888888888889,18.444444444444446,18.11111111111111,19.22222222222222,20.88888888888889,20.333333333333336,23.11111111111111,20.444444444444446,19.555555555555557,20.22222222222222,20.555555555555557,21,21.22222222222222,21.333333333333336,23,21.555555555555557,22.88888888888889,23.22222222222222,24.11111111111111,21.555,20.470514285714284,18.100133333333332,14.954520000000002,12.2483,9.900133333333333,7.0794,4.703799999999999,2.8873065015479877,6.444464195022855,5.7,5.7,5.7,5.7,5.7,5.7,5.045276790248857,24.822695035460992,24.555555555555557,4.6
