Avg Threads Running,1,1,1,1.9,2.3,2.9000000000000004,3.1,3.7,4.4,4.777777777777778,5.25,5.857142857142857,6.666666666666667,6,6.25,7,8,10.75,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,16.25,16.25,16.25,18.333333333333332,21.333333333333332,23,23,23,23,23,16,16,16,16,24,24,24,24,24,24,24,24,24,24,43,43,43,43,43,43,43,43,43,43
Peak Threads Connected,1,1,1,10,10,10,10,10,10,10,10,10,10,8,8,10,10,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,16,16,16,16,24,24,24,24,24,24,24,24,24,24,43,43,43,43,43,43,43,43,43,43
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,5,5,5,2,2,2,2,2,2,2,2,2,2,23,23,23,23,23,23,23,23,23,23
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.12073333333333333,0.6647462884998893,0.6666666666666667,0.6666666666666667,0.15,0.15,0.15,0.15,0.5719187875321705,0.5719187875321705,0.4751310647221428,0.5081063122923588,0.33274179236912155,0,0,0,0,0
table_open_cache_hits,288.44444444444446,286.33333333333337,283,501.44444444444446,776.5555555555555,1104.4444444444446,1338.888888888889,1648.2222222222222,1906,1817.0865,1805.8695714285714,1800.5217999999998,1582.593,1308.3726499999998,976.4912,2589.8515399955686,2493.777777777778,2467,674.1,674.1,674.1,674.1,2374.7497855304546,2374.7497855304546,1972.862963492517,1839.5989036544852,2376.1091393078973,2329.329329329329,2329.329329329329,2329.329329329329,1662.2094094094093,1429.2764764764765
table_open_cache_misses,0,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.12073333333333333,0.6647462884998893,0.6666666666666667,0.6666666666666667,0.15,0.15,0.15,0.15,0.5719187875321705,0.5719187875321705,0.4751310647221428,0.5081063122923588,0.33274179236912155,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,1.1111111111111112,0.888888888888889,0.888888888888889,1,1.1111111111111112,0.888888888888889,0.888888888888889,1,0.8622,0.7621999999999999,0.7725666666666666,0.67464,0.57775,0.36219999999999997,1.1079104808331488,1.1111111111111112,1,0.3,0.3,0.3,0.3,1.0008578781812982,1.0008578781812982,0.8314793632637498,0.7621594684385382,0.9982253771073648,1.001001001001001,1.001001001001001,1.001001001001001,0.7143143143143142,0.6142142142142142
Slow Queries,4.555555555555555,4.111111111111112,4,6.111111111111112,8,9.333333333333334,9.777777777777779,11.88888888888889,13,12.28635,12.195199999999998,12.029966666666665,9.557400000000001,7.51075,5.6744666666666665,16.951030356747175,16.88888888888889,17.88888888888889,6.75,6.75,6.75,6.75,17.729482413497287,17.729482413497287,14.729063006386426,12.956710963455148,13.642413487133984,11.01101101101101,11.01101101101101,11.01101101101101,7.857457457457457,6.756356356356356
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
