Avg Threads Running,2,2,2.3,3.2,3.9000000000000004,4.699999999999999,5.4,5.6,6.2,6.9,7.4,7.6,7.800000000000001,7.800000000000001,7.700000000000001,7.4,7.222222222222222,7.624999999999999,7.571428571428571,7.333333333333334,7.4,8.25,8.666666666666668,7.5,7,12,11,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,9.5,9,14,9.5,8.666666666666668,9,9,9,9,9,9,9,7.333333333333334,13,16,22,22,22,22,22,22,22,22,59,59,59,59,66,68.66666666666667,69.25,66.4,66.4,67,68.33333333333333,68.33333333333333,67.28571428571428,66,64.625,62.75,61.625,61.375,60.77777777777778,59.44444444444444,59.22222222222222,60.7,61.599999999999994,61.400000000000006,60.6,59.5,58.800000000000004,58.99999999999999,57.70000000000001,56.099999999999994,55.400000000000006,52.5,50.2,48.599999999999994,47.2,46.300000000000004,44.900000000000006,45.5,48.00000000000001,51.199999999999996,50.44444444444444,51.125,51.714285714285715,58.14285714285714,62.85714285714286,63.857142857142854,63.57142857142858,64,63.2,58,55.666666666666664,54.14285714285714,53.5,49.14285714285714,45.166666666666664,45,46.5
Peak Threads Connected,2,2,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,12,12,12,12,12,12,12,12,12,12,10,9,14,14,14,14,14,14,14,14,14,14,10,22,22,22,22,22,22,22,22,22,22,59,59,59,59,73,74,74,74,74,74,74,74,74,74,74,71,70,70,70,67,65,74,74,74,74,74,74,74,74,74,74,70,58,58,58,58,58,61,68,74,74,74,74,84,84,84,84,84,84,84,84,84,84,73,49,49,49
Peak Threads Running,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,1,1,1,1,1,34,34,34,34,54,71,71,71,71,71,71,71,71,71,71,65,65,65,65,63,54,57,64,64,64,64,64,64,64,64,64,64,52,48,46,46,46,42,50,64,64,64,64,71,71,71,71,71,71,71,71,71,71,60,43,42,42
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1462688244549337,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.12192627556754328,0.1311,0.1108524553818867,0,0.6857500626095667,1.2839619794809898,1.1823396416010719,1.6262354755415296,1.8648687419308565,1.5578057193724266,1.371559049849448,1.3200000000000003,1.3756878439219609,1.5593673423925152,1.1111111111111112,1.2222222222222223,1.1111111111111112,1.25250501002004,1.1130899376669634,1.3333333333333335,1.4069969932347786,1.3360053440213764,1,0.888888888888889,1,0.6666666666666667,0.7777777777777779,0.7777777777777779,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22214817283127847,0.10777442833937272,0.10888496766691827,0.1103656505080793,0.3326311120966848,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.66915,0.5714323995998285,0.633512321012321,0.6128849734994987,0.7517854905400325,0.6680770515532792,0.329575,0.33522857142857143,0.3436,0.13333333333333333
table_open_cache_hits,284,286.8888888888889,381.55555555555554,641.7777777777778,861.3333333333334,1096.6666666666667,1399.888888888889,1661.3333333333335,1921.2222222222222,2165.5555555555557,2432,2627.3333333333335,2611.777777777778,2615,2595.3333333333335,2518.777777777778,2158.841025,1895.7002857142857,1647.7743333333333,1376.15316,1080.8547,827.6270000000001,595.4562,377.60159999999996,505.848403707518,745.8324835109082,659.85,659.85,659.85,659.85,659.85,659.85,583.5761161846777,372.24899999999997,474.072049689441,750.9116480162768,1019.347437626433,929.2000000000002,929.2000000000002,929.2000000000002,929.2000000000002,929.2000000000002,849.7042144302092,655.6311,2490.854672430994,2484.353571873831,1716.77528174305,1783.2805270569302,1974.1130882599227,2242.9540058815096,2572.084349447712,2553.5773895627017,1906.217704918033,1834.5600000000002,2573.161580790395,2583.983069725997,2572.777777777778,2565.222222222222,2511,2552.2294589178355,2551.5360641139805,2546.4444444444443,2393.8881342395393,2529.392117568471,2477.888888888889,2495.1111111111113,2521.777777777778,2546.666666666667,2499,2499.666666666667,2541.777777777778,2517.222222222222,2538.1111111111113,2543.888888888889,2570.222222222222,2534,2462.4444444444443,2462.666666666667,2504.3333333333335,2460.888888888889,2465.222222222222,2446.073531045207,2130.0538016993623,1843.4225026009262,1606.5927744461103,2503.936134826477,2498.5555555555557,2441.888888888889,2447.5555555555557,2166.2616000000003,1954.1845201514934,1929.425124875125,2162.380763500931,2523.3679989976195,2556.953568644917,2272.9689166666662,2041.8772285714288,1819.4765333333332,1031.4666666666667
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1462688244549337,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.12192627556754328,0.1311,0.1108524553818867,0,0.6857500626095667,1.2839619794809898,1.1823396416010719,1.6262354755415296,1.8648687419308565,1.5578057193724266,1.371559049849448,1.3200000000000003,1.3756878439219609,1.5593673423925152,1.1111111111111112,1.2222222222222223,1.1111111111111112,1.25250501002004,1.1130899376669634,1.3333333333333335,1.4069969932347786,1.3360053440213764,1,0.888888888888889,1,0.6666666666666667,0.7777777777777779,0.7777777777777779,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22214817283127847,0.10777442833937272,0.10888496766691827,0.1103656505080793,0.3326311120966848,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.66915,0.5714323995998285,0.633512321012321,0.6128849734994987,0.7517854905400325,0.6680770515532792,0.329575,0.33522857142857143,0.3436,0.13333333333333333
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.12525050100200402,0.11130899376669634,0.11111111111111112,0.11724974943623154,0.11133377866844803,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,1,1.1111111111111112,0.888888888888889,1,0.888888888888889,0.888888888888889,1.1111111111111112,0.888888888888889,0.888888888888889,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1.1111111111111112,0.969975,0.7621999999999999,0.7725666666666666,0.67464,0.4622,0.4829333333333333,0.2622,0.16219999999999998,0.24042224510813592,0.339091831557585,0.3,0.3,0.3,0.3,0.3,0.3,0.265322171486555,0.16219999999999998,0.2408902691511387,0.33931841302136323,0.43880647336480105,0.4,0.4,0.4,0.4,0.4,0.3657788267026298,0.2622,0.8868196430550936,0.8727091385114075,0.6857500626095667,0.7133122108227721,0.7882264277340478,0.8756652560608235,1.0041600918089226,1.0014465338822744,0.8728103044496487,0.8400000000000002,1.1255627813906952,1.1138338159946537,1.1111111111111112,1,1,1.1272545090180361,1.1130899376669634,0.888888888888889,0.9379979954898523,0.8906702293475842,0.888888888888889,0.888888888888889,1.1111111111111112,1.1111111111111112,0.888888888888889,0.888888888888889,1.1111111111111112,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,0.888888888888889,1,1,0.888888888888889,1,0.9996667777407531,0.8621954267149817,0.7621947736684278,0.6621939030484757,1.1087703736556158,1,1,1.1111111111111112,0.8922000000000001,0.8000053594397599,0.633512321012321,0.858038962899298,0.8770830722967047,0.8907694020710389,0.8788666666666666,0.7822,0.5726666666666667,0.4
Slow Queries,4,4.333333333333334,4.555555555555555,5.111111111111112,6.888888888888888,8.777777777777779,10.444444444444445,12.333333333333334,14,15.333333333333334,16.88888888888889,18.444444444444446,19,18.666666666666668,17.555555555555557,17.555555555555557,14.765175,13.066285714285712,11.478133333333332,9.557400000000001,7.51075,6.157400000000001,3.933,3.0818,4.087178166838311,6.951382546930492,6.15,6.15,6.15,6.15,6.15,6.15,5.439104515474378,3.8928,3.372463768115942,5.768413021363175,7.313441222746685,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.096313778377164,4.7196,17.403835494956212,17.57885550430121,138.52151264713248,155.93004928585796,179.19014123820688,209.9094713814374,240.7115191507675,231.33414932680535,190.64670792907327,183.48000000000002,258.2541270635317,260.5257295611495,252.66666666666669,253,241.22222222222223,252.1292585170341,250,245,230.16125814332253,236.9182810064574,232.66666666666669,238.55555555555557,238.33333333333334,246.22222222222223,248.44444444444443,252,255.33333333333334,245.11111111111114,255,253.8888888888889,258.22222222222223,249.44444444444443,235.8888888888889,238,246.22222222222223,235.22222222222223,243.44444444444443,239.14250805287125,207.25022569661374,175.41368291140532,156.49849242045644,240.60317108326862,235.22222222222223,223.55555555555557,236.22222222222223,206.32125000000002,186.74410818922394,194.9950924075924,220.14828248101995,255.85766194712443,260.66139628103775,232.02079999999995,209.85308571428573,185.08586666666665,106.93333333333332
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
