Avg Threads Running,1,1,1.6,2,3,3.7,4.6,5,5.3,6.1,6.9,7.555555555555555,7.624999999999999,8,7.5,7.4,10.4,11.75,14.333333333333334,17,25,25,25,25,25,25,38,38,38,33,33,33,33,31.666666666666664,31.666666666666664,32,30,30,30,31,31,31,31,33,27.5,21,17,14.25,12.6,13.833333333333332,13.833333333333332,13.833333333333332,13.833333333333332,13.833333333333332,12.2,10.25,13.5,24,45.5,73.25,93.6,113.5,131.85714285714286,146.5,157.88888888888889,167,189.70000000000002,209.8,225.5,236.5,242.8,244.49999999999997,244.29999999999998,244.1,244.1,244.1,244.1,244.1,234.2,233.44444444444446,232.875,233.2857142857143,232.16666666666666,229.2,224.25,216,199.5,150,12,10,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,10.25,9.666666666666666,10.5,16,16,16,16,16,13,13,14,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,12.5,12.5
Peak Threads Connected,1,1,7,7,11,11,11,11,11,11,11,11,11,11,10,10,25,25,25,25,25,25,25,25,25,25,38,38,38,38,38,38,38,38,38,38,33,33,33,33,33,33,33,33,33,22,22,22,22,22,22,22,22,22,20,20,22,48,92,131,175,213,242,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,150,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18
Peak Threads Running,1,1,1,1,3,3,3,3,3,3,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,9,9,9,9,9,9,9,9,9,2,1,12,44,88,128,172,211,240,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,240,110,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6647462884998893,0.7475703962123099,0.8539709649871906,0.9956853634251577,0.35769745649263723,0.4246318607764391,0.4915662650602409,0.5108433734939759,0.28616397195593074,0.28616397195593074,0.22256843979523705,0,0,0,0,0,0,0,0.22187708009762588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24602139752591107,0.23943610099439372,0.35174924830869464,0.3340013360053441,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.3333333333333335,4.666666666666667,4.52655,4.355428571428571,4.193933333333333,4.04784,4.1598,4.3464,4.7196,4.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,283.8888888888889,285,319.22222222222223,627.3333333333334,936,1192.3333333333335,1437.2222222222222,1692.8888888888891,1911.1111111111113,2189.5555555555557,2481.1111111111113,2344.10625,2032.8962857142856,1722.3822,1465.5429600000002,1215.93265,2616.2198094393975,2661.72439571393,2641.6168516937096,2597.245270494524,1262.3143239625167,1498.5258366800538,1734.7373493975902,1802.7662650602408,2446.988124195164,2446.988124195164,2449.8108168261742,2493.4978326108703,2493.4978326108703,1903.9102700900298,982.4,1262.9275913870806,1016.9586379569353,770.9896845267901,2464.166851564233,555.1604938271605,784.0453853955376,992.3209062359804,1211.1733887210473,1476.3750603378924,1387.8000000000002,1387.8000000000002,1387.8000000000002,1307.04038616251,1069.41525,837.8893333333333,2469.172765579951,2381.777777777778,2215.888888888889,521.0282360831657,631.1703980411854,728.091750301084,816.2989969909729,842.4559213487743,856.0404206339265,846.3593854375418,725,657.2222222222223,612.4444444444445,581.8888888888889,581.6666666666667,597.4444444444445,692,781.2222222222223,785.5555555555555,783.1111111111111,765.5555555555555,784.6666666666667,1159.888888888889,1015.994925,909.6312571428571,783.8240666666666,678.5754000000001,658.0572500000001,653.6502666666668,669.6587999999999,685.6193999999999,503.82156057494865,724.6888551165147,641.4,641.4,641.4,641.4,641.4,641.4,2448.793506060269,2484.59907719167,2528.280381820772,2480.1899762529683,2480.1899762529683,896.771142284569,1055.2918120805368,1024.8,1024.8,1024.8,1024.8,1115.816912751678,886.5551677852349,438,359.2134146341463
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6647462884998893,0.7475703962123099,0.8539709649871906,0.9956853634251577,0.35769745649263723,0.4246318607764391,0.4915662650602409,0.5108433734939759,0.28616397195593074,0.28616397195593074,0.22256843979523705,0,0,0,0,0,0,0,0.22187708009762588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24602139752591107,0.23943610099439372,0.35174924830869464,0.3340013360053441,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.3333333333333335,4.666666666666667,4.52655,4.355428571428571,4.193933333333333,4.04784,4.1598,4.3464,4.7196,4.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,0.888888888888889,0.888888888888889,1,1.1111111111111112,1,1.1111111111111112,1,1.1111111111111112,0.888888888888889,1,1,0.8622,0.6533142857142856,0.5518333333333333,0.44976000000000005,0.34665,0.9971194327498338,1.121355594318465,1.138627953316254,1.1616329239960173,0.5365461847389559,0.6369477911646587,0.7373493975903613,0.7662650602409637,0.8584919158677924,0.8584919158677924,1.0015579790785667,1.000333444481494,1.000333444481494,0.7638046015338447,0.6,0.7713319979969955,0.6211066599899849,0.4708813219829745,0.9984468604393164,0.24032921810699587,0.1695233265720081,0.2924181247196052,0.5384189325276939,0.5106355591311343,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.4520675784392599,0.34665,0.36219999999999997,1.1088933244621866,1,1,0.29221998658618376,0.40364766449020595,0.6381172219991971,0.6150534938147777,0.8380263534803781,0.8207482460536208,1.0020040080160322,0.888888888888889,1,1.1111111111111112,1,1,1.1111111111111112,1,1.1111111111111112,0.888888888888889,1.1111111111111112,1.1111111111111112,0.888888888888889,1.1111111111111112,0.8622,0.7621999999999999,0.6622,0.5622,0.57775,0.36219999999999997,0.2622,0.32439999999999997,0.48028747433264884,0.33895643363728467,0.3,0.3,0.3,0.3,0.3,0.3,1.1119759813188035,0.9976306272602569,1.139763499073942,0.9998750156230471,0.9998750156230471,0.38637274549098194,0.4633892617449664,0.45,0.45,0.45,0.45,0.4899664429530201,0.3892953020134228,0.2,0.16402439024390242
Slow Queries,4.555555555555555,4.666666666666667,5.333333333333334,7.222222222222223,8.666666666666668,10.333333333333334,11.555555555555555,13.555555555555557,15.11111111111111,16.333333333333336,18,16.3818,14.04625714285714,12.140333333333333,10.45692,8.5507,20.828717039663196,21.056566159980065,21.77625960717336,22.07102555592433,8.048192771084338,9.55421686746988,11.06024096385542,11.493975903614457,17.742166261267705,17.742166261267705,17.582906743823727,18.839613204401466,18.839613204401466,14.38498666222074,6.8,8.741762643965949,7.03920881321983,5.336654982473711,16.751719547370755,5.7679012345679,7.119979716024341,8.480125616868552,9.69154078549849,10.468028962188255,9.840000000000002,9.840000000000002,9.840000000000002,9.267385358004827,6.7019,4.8293333333333335,14.859170547793301,15,14.222222222222223,4.237189805499665,4.709222752385736,6.253548775592131,6.642577733199599,7.183083029831812,7.386734214482587,7.90469828545981,7.222222222222223,7.555555555555555,7.111111111111112,7.222222222222223,6.222222222222223,6.666666666666667,7.111111111111112,7.777777777777779,7.444444444444445,6.888888888888888,7.111111111111112,8.222222222222223,25.11111111111111,23.818275,23.083771428571428,22.294066666666666,21.700920000000004,21.723399999999998,22.214933333333335,23.0736,25.789799999999996,3.8422997946611908,3.8979989868287737,3.45,3.45,3.45,3.45,3.45,3.45,17.569220504837094,17.70794363386956,19.233509046872776,19.49756280464942,19.49756280464942,4.2501002004008015,5.406208053691275,5.25,5.25,5.25,5.25,5.716275167785236,4.541778523489933,2.6,2.1323170731707313
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
