Avg Threads Running,2,2,2.3,3.1,3.6,3.9,4.3,5,5.6,6.1,6.5,6.6,6.8,6.7,7.1000000000000005,7.4,7.2,7,7.1000000000000005,7,6.8,7.2,7.199999999999999,7.3,7.1,7.1,7.7,7.799999999999999,8,7.999999999999999,8.2,8.100000000000001,8.2,8.299999999999999,8.2,7.799999999999999,7.3999999999999995,7.3,7.300000000000001,7.299999999999999,7.2,7.3999999999999995,7.4,7,6.875,7.874999999999999,8.625,8.499999999999998,8,8,8.749999999999998,8.375,7.875,8.11111111111111,7.8999999999999995,7.300000000000001,6.7,6.999999999999999,7.2,7.3999999999999995,6.700000000000001,6.6000000000000005,6.7,6.199999999999999,7.5,8.1,9.100000000000001,10.3,11.2,11.8,13.299999999999999,16,17.22222222222222,18.75,19.374999999999996,20.42857142857143,21.166666666666668,21.2,22,24.666666666666664,27.5,24,24,24,26,23,21.666666666666664,21.25,21,21,19.857142857142858,19.25,18.88888888888889,19.6,18.88888888888889,18.75,18.714285714285715,18.5,18.2,17.5,19,21,26,32,32,27.5,27.5,27.5,27.5,30.333333333333336,30.333333333333336,30.333333333333336,30.333333333333336,29.5,29.5,36,36,36,36
Peak Threads Connected,2,2,5,10,10,10,10,10,10,10,10,10,10,9,11,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,9,19,19,19,21,21,21,21,31,31,31,31,31,31,31,31,31,31,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,32,32,32,32,32,32,36,36,36,36,36,36,36,36,36,36
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,12,12,12,12,18,18,18,18,18,18,18,18,18,18,11,11,11,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.22168033695411218,0.22155754957350174,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4443457009553432,0.4310984753811547,0.3266556494062921,0.3321891263425977,0.32955734030631306,0.33520551841843266,0.229045763554966,0.23818326376465912,0.25605308856363185,0.15409376031693628,0.24126819126819127,0.16975025484199796,0.14630880036011704,0.1346605249873801,0.12769447803305117,0.123059935144806,0.11975417572947016,0.11727738005526249,0.11158223610801161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,280.8888888888889,281.6666666666667,284,491,694.3333333333334,959.3333333333334,1220.111111111111,1423,1656,1885.4444444444446,2100.3333333333335,2344.3333333333335,2341.777777777778,2367,2361.222222222222,2339.888888888889,2383.222222222222,2345.3333333333335,2313.4444444444443,2378.1111111111113,2419,2468.666666666667,2537.222222222222,2496.222222222222,2526.3333333333335,2515.3333333333335,2571.777777777778,2611.222222222222,2581.888888888889,2547.1111111111113,2531.3333333333335,2507.5555555555557,2498.3333333333335,2449.1111111111113,2465.5555555555557,2420.666666666667,2439.777777777778,2394.4444444444443,2368.666666666667,2434.5555555555557,2454.888888888889,2540.222222222222,2566.3333333333335,2217.039525,2007.6347999999998,2598.64774994458,2596.1005871275065,2574.3333333333335,2522,2436.1111111111113,2381.222222222222,2320,1856.1006899234326,2045.6353440711962,2229.5611494764985,2204.1680597347595,2203.5555555555557,2149.4444444444443,2167.5555555555557,2228.4444444444443,2275.666666666667,2246.3333333333335,2296.666666666667,2269.666666666667,2314.1111111111113,2349.666666666667,2366.3333333333335,2432.666666666667,2388.777777777778,2387.5555555555557,2469,2482.0039991113085,2157.1089961884527,1933.2570184029053,2409.5891927804228,2146.6266623085544,1860.3906272223012,1608.8174432100811,1390.3948022261977,1147.6299429421979,993.2883790029713,587.4880457380457,892.8863404689093,1115.8972203466126,1356.0314866229178,1633.5954574768239,1855.7438219836745,2070.1904358353504,2282.569648015574,2500.5579111805405,2152.805625,1867.3899999999999,1631.5504333333333,1387.5096,1111.24435,884.9753333333334,671.6252999999999,478.00339999999994,822.8338570704511,1038.5459706031425,851.2,851.2,2191.8788483940757,2191.8788483940757,2191.8788483940757,1684.0753161923778,1590.1656342913775,1369.2786174430128
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.22168033695411218,0.22155754957350174,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4443457009553432,0.4310984753811547,0.3266556494062921,0.3321891263425977,0.32955734030631306,0.33520551841843266,0.229045763554966,0.23818326376465912,0.25605308856363185,0.15409376031693628,0.24126819126819127,0.16975025484199796,0.14630880036011704,0.1346605249873801,0.12769447803305117,0.123059935144806,0.11975417572947016,0.11727738005526249,0.11158223610801161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,1.1111111111111112,0.888888888888889,1.1111111111111112,1.1111111111111112,0.888888888888889,0.888888888888889,1,0.888888888888889,1,1,1,0.888888888888889,1,1,1,1,1.1111111111111112,1.1111111111111112,0.888888888888889,1,1,0.888888888888889,1,1,1.1111111111111112,0.888888888888889,1,1,1,1.1111111111111112,1,1,1,0.888888888888889,1.1111111111111112,0.888888888888889,1,1,0.888888888888889,1,1.1111111111111112,0.969975,0.8710857142857142,0.9975615162935048,0.9970089730807578,1,1,1,1,1,0.8380768128403553,0.8207868513411883,1.0024504343951883,1.1144544745347151,1,1.1111111111111112,1,1,0.888888888888889,0.888888888888889,1.1111111111111112,1,0.888888888888889,1,0.888888888888889,1,1,1.1111111111111112,1,0.8886914019106864,0.7544223319170207,0.7621965152813482,1.107297087808659,0.9886720209189391,0.8938813824491538,0.801660172442381,0.5954581594116478,0.6401327214090796,0.6163750412677451,0,0.3395005096839959,0.2926176007202341,0.4039815749621403,0.5107779121322047,0.61529967572403,0.8382792301062911,0.8209416603868375,1.0042401249721045,0.969975,0.7621999999999999,0.7725666666666666,0.67464,0.57775,0.4829333333333333,0.2622,0.32439999999999997,0.5800050684237202,0.7320577800304106,0.6,0.6,0.9985022466300549,0.9985022466300549,0.9985022466300549,0.7671742386420368,0.5351090188305252,0.4607779980178394
Slow Queries,5.333333333333334,5.222222222222222,5.333333333333334,6.222222222222223,8.11111111111111,10.11111111111111,10.333333333333334,11.444444444444445,12.777777777777779,13.666666666666668,16,16.77777777777778,16.555555555555557,16,14.88888888888889,15.666666666666668,16.333333333333336,16.11111111111111,16.333333333333336,15.555555555555557,15.88888888888889,15.555555555555557,15.222222222222223,15.333333333333334,15.444444444444446,15.555555555555557,15.222222222222223,15,15,14.222222222222223,14.11111111111111,15.777777777777777,15.555555555555557,15.11111111111111,15.222222222222223,16.333333333333336,17,17.22222222222222,18,19.666666666666668,18.555555555555557,18.88888888888889,19.333333333333336,16.489575,14.481799999999998,21.28131234759477,21.380303533842916,20.666666666666668,19.11111111111111,18.666666666666668,19,18.666666666666668,13.768404782377266,14.891418588618702,16.484740476720877,16.15958988075337,16.88888888888889,17.666666666666668,18,17.77777777777778,18.11111111111111,16.666666666666668,17.333333333333336,17.555555555555557,28.888888888888893,42.333333333333336,55,77.77777777777779,96,114.22222222222221,130.66666666666669,142.19062430570983,135.47269588852788,124.02026155792223,161.88683423762595,146.10375420246547,123.91430664201394,106.27723428950421,88.96144901610019,74.63947531629869,71.03722350610762,61.0408523908524,92.51388888888889,107.68327706504616,131.15935133770822,158.97962515114872,174.3759281001901,196.9956190749784,214.38305074101982,232.87212675742026,197.65935,167.9017714285714,149.10536666666664,125.14572000000001,97.2931,80.89133333333334,57.9462,42.0098,35.766979219462755,45.14356310187532,37,37,61.24147112664336,61.24147112664336,61.24147112664336,47.05335330337826,32.64165014866204,28.10745787908821
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
