Avg Threads Running,1,1,2.0999999999999996,2.5,3.3,3.9,4.8,5.5,6,6.555555555555555,7.249999999999999,8.142857142857142,7.5,8,9.399999999999999,10,10,11,20.5,20.5,20.5,20.5,20.5,20.5,25,25,25,25,39,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,22,21,16,16,16,16,16,16,16,16,16,11,316,305.5,299.6666666666667,296.25,293.8,289.5,286.14285714285717,283.625,281.6666666666667,280.20000000000005,276.2222222222222,273.875,271.8571428571429,269.5,266.6
Peak Threads Connected,1,1,12,12,12,12,12,12,12,12,12,12,10,10,16,16,16,16,25,25,25,25,25,25,25,25,25,25,39,39,39,39,39,39,39,39,39,39,22,21,21,21,21,21,21,21,21,21,21,11,316,316,316,316,316,316,316,316,316,316,295,288,286,284,268
Peak Threads Running,1,1,3,3,3,3,3,3,3,3,3,3,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3,3,17,17,17,17,17,17,17,17,17,17,2,3,3,3,3,3,3,3,3,3,3,2,26,32,39,45,53,69,114,118,118,123,123,123,123,123,123
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.11090163025396474,0.12473493825620556,0.14251104460595695,0,0.857928964482241,1.250625312656328,1.250625312656328,1.250625312656328,0.8924462231115559,0.767383691845923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2223951962637607,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311
table_open_cache_hits,285,282.11111111111114,425.2222222222223,681.8888888888889,957.5555555555557,1228.6666666666667,1509.5555555555557,1817.7777777777778,2043.5555555555554,1950.7275000000002,1941.1056285714283,1793.5686999999998,1535.59308,1257.8772999999999,2538.3165132527447,2505.425969814145,2426.393045461023,2444.9060993850753,1702.131065532766,2481.240620310155,2481.240620310155,2481.240620310155,1770.6133066533268,1522.4892446223114,464.9182751540041,387.2,387.2,387.2,387.2,387.2,387.2,387.2,319.817659137577,448.1054536187563,374.2,374.2,374.2,374.2,374.2,374.2,374.2,307.54204892966357,429.6309164149044,402.1799172102358,423.25916583138434,437.76000187828697,508.6798738233527,578.0236664998054,601.9625983125982,622.8674910859502,682.6420549316134,467.42017500000003,409.4102857142857,357.58799999999997,324.27696000000003,248.6636
table_open_cache_misses,0,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.11090163025396474,0.12473493825620556,0.14251104460595695,0,0.857928964482241,1.250625312656328,1.250625312656328,1.250625312656328,0.8924462231115559,0.767383691845923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2223951962637607,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,0.888888888888889,1,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1,0.754425,0.7621999999999999,0.5518333333333333,0.44976000000000005,0.4622,1.1090163025396473,0.9978795060496445,0.9975773122416987,1.16337045039056,0.5147573786893446,0.7503751875937968,0.7503751875937968,0.7503751875937968,0.5354677338669335,0.46043021510755383,0,0,0,0,0,0,0,0,0,0.2395005096839959,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16437308868501527,0.2384189325276939,0.16905418966382338,0.29200356387125515,0.4034654395191585,0.6379230923292609,0.7379025529784748,0.8378878878878877,0.8206422807456525,0.8895807850550428,0.754425,0.7621999999999999,0.6622,0.5622,0.34665
Slow Queries,3,2.666666666666667,4.222222222222222,5.666666666666667,7.444444444444445,8.88888888888889,10.777777777777779,12.666666666666668,13.777777777777777,13.040775,12.957399999999998,11.367766666666665,9.78228,7.7418499999999995,16.967949428856606,16.714481726331545,16.246259085079096,16.785773641349508,13.898449224612303,20.260130065032513,20.260130065032513,20.260130065032513,14.457628814407204,12.431615807903952,2.16129363449692,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.4867556468172485,3.3530071355759423,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.301223241590214,5.48363544813696,5.747842448569995,6.570080187103241,6.858912471825694,7.910246344882836,9.223781912230937,9.815258115258114,10.082176592018016,11.786945401979317,8.945325,7.839771428571427,6.732366666666667,6.184200000000001,5.0842
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16905418966382338,0.14600178193562757,0.1344884798397195,0.12758461846585217,0.12298375882974581,0.11969826969826969,0.11723461153509321,0.11119759813188035,0.107775,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16905418966382338,0.14600178193562757,0.1344884798397195,0.12758461846585217,0.12298375882974581,0.11969826969826969,0.11723461153509321,0.11119759813188035,0.107775,0,0,0,0
