Avg Threads Running,1,1,1.6,2,2.3000000000000003,3.1,4.3,4.666666666666666,5.666666666666667,6.25,7,8.428571428571429,9.142857142857142,9.285714285714286,10.166666666666666,11.833333333333334,11.6,13.333333333333332,14,14,14,14.75,15.666666666666666,20.5,20,16.666666666666668,16,14,14,14,14,14,14,14,11.5,14,53,53,41,36.66666666666667,36.66666666666667,29.500000000000004,29.500000000000004,29.500000000000004,29.500000000000004,29.500000000000004,21.666666666666664,21.666666666666664,18,8,8,306,304.5,303.6666666666667,303,302,300.6666666666667,299.8571428571429,299.125,298.55555555555554,298,296.7,295.7,294.8,294,293.49999999999994,293.40000000000003,293.2,293.09999999999997,293,293,293,293,293,292.6,269.4,266.77777777777777,263.5,259.2857142857143,253.66666666666666,245.8,233.99999999999997,214.33333333333331,175
Peak Threads Connected,1,1,7,7,7,9,13,13,13,13,13,13,13,13,13,19,19,22,22,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,14,14,53,53,53,53,53,53,53,53,53,53,29,29,28,8,8,306,306,306,306,306,306,306,306,306,306,303,302,301,298,295,295,294,294,293,293,293,293,293,293,293,293,293,293,293,293,293,293,289
Peak Threads Running,1,1,1,1,1,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4,4,6,6,6,6,6,6,6,6,6,6,2,2,24,24,24,24,24,24,24,24,24,24,12,12,12,1,1,76,107,119,134,137,137,152,152,152,152,152,152,152,152,152,152,152,151,151,151,117,91,74,68,56,41,39,39,39,39,39,39,39
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.22180326050792948,0.2173292467791657,0.22014393615505198,0.22163120567375888,0.4444444444444445,0.44390189768061267,0.44609162401697666,0.5543237250554324,0.5711837783806939,0.444247001332741,0.375,0.39482866433216607,0.3448036518259129,0.11909646152824802,0.12831670822942645,0,0.33311125916055967,0.3759869657851861,0.3341129301703976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23959183673469386,0.3386868686868687,0.4383892617449664,0.403680904522613,0.3828915662650602,0.3690468227424749,0.35916496111338514,0.35175751879699246,0.4454342984409799,0.33333333333333337,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,286.6666666666667,283.8888888888889,540.6666666666667,826.5555555555557,1053,1403.6666666666667,1623.2222222222222,1542.2602499999998,2182.322280137518,2106.898382900622,2104.0256698019093,2622.451241134752,2592.1111111111113,2598.8236599711468,2229.119845212833,2526.829268292683,2448.80765386263,2454.020435362061,1867.875,1966.6415770385192,1717.4669897448723,1479.8926309500098,1286.2466832917708,1024.3825337331334,2521.7632689318234,2496.0521368592554,2465.7534246575347,656.4,656.4,656.4,656.4,656.4,656.4,579.8089159067882,360.73279999999994,892.7605846774193,1069.6488175109023,1041.75,1518.0550782818145,1510.4,1510.4,1583.994861501405,1356.6162986752308,1093.9413442294865,870.0254002668446,687.0204647676162,261.39469387755105,265.36116161616167,289.33691275167786,319.4461557788944,355.4510040160643,408.5348327759197,433.9909946786737,464.2026723057644,480.28953229398667,395.11111111111114,376.6666666666667,363.77777777777777,353.6666666666667,342.33333333333337,312.6666666666667,311.44444444444446,305.33333333333337,298.33333333333337,294,292.8888888888889,290.55555555555554,290.77777777777777,324.33333333333337,430.55555555555554,386.05005,359.64951428571425,332.4244,305.49948000000006,279.28435,258.4900666666667,240.6996,198.695
table_open_cache_misses,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.22180326050792948,0.2173292467791657,0.22014393615505198,0.22163120567375888,0.4444444444444445,0.44390189768061267,0.44609162401697666,0.5543237250554324,0.5711837783806939,0.444247001332741,0.375,0.39482866433216607,0.3448036518259129,0.11909646152824802,0.12831670822942645,0,0.33311125916055967,0.3759869657851861,0.3341129301703976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23959183673469386,0.3386868686868687,0.4383892617449664,0.403680904522613,0.3828915662650602,0.3690468227424749,0.35916496111338514,0.35175751879699246,0.4454342984409799,0.33333333333333337,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,0.8622,0.8872130420317179,0.7606523637270799,0.770503776542682,0.9973404255319149,1,0.8878037953612253,0.7806603420297092,0.8869179600886918,0.9995716121662144,1.1106175033318524,0.875,0.9212668834417208,0.8045418542604634,0.5954823076412401,0.6415835411471322,0.6212143928035981,1.1103708638685321,1.0026319087604962,1.002338790511193,0.3,0.3,0.3,0.3,0.3,0.3,0.2649949341438703,0.16219999999999998,0.3868951612903226,0.6160684334116068,0.6,0.8040545965475712,0.8,0.8,0.8389803291850662,0.718546768366118,0.651834556370914,0.5184122748498999,0.31349325337331335,0.4791836734693877,0.3386868686868687,0.4383892617449664,0.6728015075376884,0.7657831325301204,0.8611092530657748,0.8380515759312319,1.0552725563909773,1.0022271714922049,1,1,1.1111111111111112,0.888888888888889,1,1,1.1111111111111112,0.888888888888889,1,1,1.1111111111111112,1,1.1111111111111112,1,0.888888888888889,0.754425,0.7621999999999999,0.6622,0.44976000000000005,0.34665,0.24146666666666666,0.1311,0
Slow Queries,3,2.888888888888889,4.666666666666667,7,9.11111111111111,11.11111111111111,13.11111111111111,12.394124999999999,16.967949428856606,16.191028885047846,16.18057930739632,20.944148936170215,20,20.086560870047723,17.843664960679067,18.8470066518847,18.56347279737255,18.21412705464238,12.875,13.555784142071037,11.838258712689676,10.480488614485825,8.597219451371572,7.040429785107446,18.432156340217634,18.172703346283996,18.37621115937187,4.95,4.95,4.95,4.95,4.95,4.95,4.37241641337386,3.2439999999999998,7.3510080645161295,8.470940959409592,8.25,12.59685534591195,12.533333333333333,12.533333333333333,13.144025157232704,11.257232704402515,9.125683789192795,7.257771847898598,6.11311844077961,2.8751020408163264,2.540151515151515,3.068724832214765,3.7676884422110555,4.594698795180723,5.289671125975474,5.746639377814162,6.917897869674185,7.015590200445435,6.888888888888888,7.333333333333334,7.222222222222223,7.333333333333334,7.111111111111112,6.444444444444445,6.666666666666667,6,5.888888888888889,5.555555555555555,5.777777777777778,5.777777777777778,5.888888888888889,6.333333333333334,9,7.975350000000001,7.513114285714285,7.2842,6.521520000000001,5.66195,5.312266666666667,4.5885,4.055
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23959183673469386,0.16934343434343435,0.1461297539149888,0.13456030150753767,0.1276305220883534,0.12301560758082497,0.11972165370446171,0.11725250626566415,0.11135857461024498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23959183673469386,0.16934343434343435,0.1461297539149888,0.13456030150753767,0.1276305220883534,0.12301560758082497,0.11972165370446171,0.11725250626566415,0.11135857461024498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
