Avg Threads Running,1,1,1.3,2,2.4,3.0999999999999996,4.1,4.444444444444445,4.875,5.428571428571429,6.166666666666667,9.5,10.6,11.25,13.333333333333334,16,21,21,21,21,38,55,55,55,55,55,55,55,55,55,43,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,18,60,67.5,82,96.5,111.6,128,145.57142857142856,159.25,169.88888888888889,178.4,198,216.00000000000003,230.39999999999998,241.3,248.6,252.8,251.5,250.99999999999997,251,251,250.9,250.9,250.44444444444446,250.625,251.42857142857144,251.33333333333331,254,255,255,255,255,24,24,24,24,24,24,24,32,32,32,40,42,42,42,42,42,42,44
Peak Threads Connected,1,1,4,8,8,8,11,11,11,11,11,21,21,21,21,21,21,21,21,21,55,55,55,55,55,55,55,55,55,55,43,43,43,43,43,43,43,43,43,43,18,60,75,111,140,172,210,251,255,255,255,256,256,256,256,256,256,256,256,256,256,255,255,255,255,255,255,255,255,255,255,255,24,24,24,24,24,24,24,40,40,40,40,44,44,44,44,44,44,44
Peak Threads Running,1,1,1,1,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,25,25,8,41,63,105,135,168,210,249,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255,255,7,7,7,7,7,7,7,20,20,20,20,33,33,33,33,33,33,33
bytes_received_rate,12632.222222222223,11990.888888888889,13279.666666666668,32483.77777777778,50366.555555555555,68480.44444444445,85165.88888888889,81055.745325,80455.98094285713,80090.11009999999,80708.08272,164338.21084137014,162161.20184515644,133272.3401937046,120887.95242069424,157265.2857996415,151424.1383131996,31737.520502092048,26246.6,26246.6,26246.6,26246.6,26246.6,26246.6,26246.6,21963.6820083682,32111.481454918034,35764.27719209326,37388.19982048692,40903.49332032235,45375.189480989735,50397.4878440239,50971.10424103941,51085.997310563296,49777.83970571843,38170.53918843802,33462.324961102466,32107.555555555555,31375.77777777778,30633.77777777778,29041,31094.444444444445,35600.555555555555,37173.222222222226,34959.11111111111,32379,32224.444444444445,26775.621000000003,22164.013799999997,18068.016633333333,14521.513560000001,9086.50535,6467.926133333333,5585.5154999999995,5037.7698,151862.82617995152,151862.82617995152,151862.82617995152,98258.57091722595,143747.45215013673,143747.45215013673,143747.45215013673,103649.10037285609,89274.35515784241
bytes_sent_rate,196287.8888888889,183226.6666666667,186299.8888888889,217974,253285.22222222225,287489.7777777778,307071.7777777778,278379.483975,253786.4674285714,238371.69253333332,232882.46724,448029.597605587,448509.66213689063,361072.525167355,330907.16986380995,436297.1519617606,430667.51634711295,103758.01338912133,85806.8,85806.8,85806.8,85806.8,85806.8,85806.8,85806.8,71804.85355648535,27044043.194877047,42665311.28705017,43586905.859054185,42357995.433779284,40235181.55230134,38862327.475446604,37843188.49164805,37090990.42292373,35295724.55690558,22719976.431350753,7324385.752389421,2203277.5555555555,439522.8888888889,409322,396946.44444444444,420031.8888888889,426129.5555555556,462429.4444444445,398799.1111111111,394288.44444444444,445394,356126.9679,335252.1456,276121.0657333333,236217.21276000002,207456.27455,136613.75086666667,135305.2947,99862.97159999999,446893.19834592903,446893.19834592903,446893.19834592903,268431.767114094,392702.4608501119,392702.4608501119,392702.4608501119,283158.10939597315,243887.86331096198
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,27.555555555555554,26.333333333333336,31.555555555555554,99.33333333333334,158.44444444444446,222.66666666666669,284.33333333333337,272.778525,272.1054,272.8264,275.92776000000003,575.7676532535195,569.0063583094377,473.97245644020313,432.0162473011128,561.4419438358893,549.2629945694337,92.86694560669456,76.8,76.8,76.8,76.8,76.8,76.8,76.8,64.26778242677824,117.08944672131148,151.95125443487075,177.36365421294735,212.8188837824226,240.0053912693623,274.00504242728744,276.71427239379466,273.46181470329947,262.62401070114817,225.23624235686492,200.3778617470549,189.77777777777777,176.11111111111111,171,165,177.88888888888889,213.11111111111114,224.11111111111114,209.33333333333334,191.88888888888889,185,153.0405,127.06962857142855,96.46046666666666,75.78456,38.824799999999996,25.716200000000004,24.5157,25.789799999999996,556.823042920291,556.823042920291,556.823042920291,357.6616331096197,523.2413621675367,523.2413621675367,523.2413621675367,377.2831841909023,324.95904797414863
qcache_lowmem_prunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com admin_commands,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.6622,0.5622,0.9976720984369803,0.9973818725844656,0.8288301761382518,0.7621574489287493,0.995817566221868,0.9974509586611993,0.24184100418410043,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16736401673640167,0.2394467213114754,0.3387987835783071,0.4386570178391113,0.5384411986905062,0.638312210822772,0.7382264277340479,0.8381652560608235,0.9381194329444236,1.003232638501839,1.000555864369094,1.0002222716159146,1,1,1,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.6622,0.5622,0.4622,0.36219999999999997,0.2622,0.16219999999999998,0.9981462997290746,0.9981462997290746,0.9981462997290746,0.6796420581655481,0.9942828734775044,0.9942828734775044,0.9942828734775044,0.7169276659209546,0.6174993785732041
com alter_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_db_upgrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
